service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
NormalMonFri,20200706,20210704,1,1,1,1,1,0,0
NormalSaturday,20200706,20210704,0,0,0,0,0,1,0
NormalSunday,20200706,20210704,0,0,0,0,0,0,1
NormalMonFriNoPH,20200706,20210704,1,1,1,1,1,0,0
PreHoliday,20200706,20210704,0,0,0,0,0,0,0
NormalMonFriNoRF,20200706,20210704,1,1,1,1,1,0,0
NormalSatNoRF,20200706,20210704,0,0,0,0,0,1,0
NormalSunNoRF,20200706,20210704,0,0,0,0,0,0,1
RenFaireSat,20200706,20210704,0,0,0,0,0,0,0
RenFaireSun,20200706,20210704,0,0,0,0,0,0,0
RenFaireFri,20200706,20210704,0,0,0,0,0,0,0
MonFriToMonSatNoDC,20200706,20210704,1,1,1,1,1,0,0
SatToSunNoDC,20200706,20210704,0,0,0,0,0,1,0
DreamCruise,20200706,20210704,0,0,0,0,0,0,0
MonFriToMonSat,20200706,20210704,1,1,1,1,1,0,0
SatToMonSat,20200706,20210704,0,0,0,0,0,1,0
SunToMonSat,20200706,20210704,0,0,0,0,0,0,1
SatToDaily,20200706,20210704,0,0,0,0,0,1,0
SatToSun,20200706,20210704,0,0,0,0,0,1,0
