route_id,fare_id,origin_id,destination_id
G,standard,,
M,standard,,
R,standard,,
V,standard,,
W,standard,,
T,standard,,
Y,standard,,
A,standard,,
U,standard,,
E,standard,,
H,standard,,
O,standard,,
001,standard,,
002,standard,,
003,standard,,
004,standard,,
005,standard,,
006,standard,,
007,standard,,
008,standard,,
009,standard,,
010,standard,,
012,standard,,
013,standard,,
014,standard,,
015,standard,,
023,standard,,
025,standard,,
051,standard,,
056,standard,,
059,standard,,
060,standard,,
061,standard,,
063,standard,,
064,standard,,
066,standard,,
073,standard,,
075,standard,,
082,standard,,
083,standard,,
100,standard,,
105,standard,,
109,standard,,
115,standard,,
120,standard,,
140,standard,,
200,standard,,
201,standard,,
203,standard,,
210,standard,,
220,standard,,
240,standard,,
300,standard,,
305,standard,,
310,standard,,
315,standard,,
400,standard,,
405,standard,,
410,standard,,
415,standard,,
420,standard,,
430,standard,,
435,standard,,
440,standard,,
470,standard,,
471,standard,,
500,standard,,
505,standard,,
508,standard,,
539,standard,,
540,standard,,
545,standard,,
570,standard,,
571,standard,,
580,standard,,
600,standard,,
605,standard,,
609,standard,,
610,standard,,
635,standard,,
680,standard,,
700,standard,,
705,standard,,
709,standard,,
720,standard,,
730,standard,,
740,standard,,
750,standard,,
G,premium,,
M,premium,,
R,premium,,
V,premium,,
W,premium,,
T,premium,,
Y,premium,,
A,premium,,
U,premium,,
E,premium,,
H,premium,,
O,premium,,
001,premium,,
002,premium,,
003,premium,,
004,premium,,
005,premium,,
006,premium,,
007,premium,,
008,premium,,
009,premium,,
010,premium,,
012,premium,,
013,premium,,
014,premium,,
015,premium,,
023,premium,,
025,premium,,
051,premium,,
056,premium,,
059,premium,,
060,premium,,
061,premium,,
063,premium,,
064,premium,,
066,premium,,
073,premium,,
075,premium,,
082,premium,,
083,premium,,
100,premium,,
105,premium,,
109,premium,,
115,premium,,
120,premium,,
140,premium,,
200,premium,,
201,premium,,
203,premium,,
210,premium,,
220,premium,,
240,premium,,
300,premium,,
305,premium,,
310,premium,,
315,premium,,
400,premium,,
405,premium,,
410,premium,,
415,premium,,
420,premium,,
430,premium,,
435,premium,,
440,premium,,
470,premium,,
471,premium,,
500,premium,,
505,premium,,
508,premium,,
539,premium,,
540,premium,,
545,premium,,
570,premium,,
571,premium,,
580,premium,,
600,premium,,
605,premium,,
609,premium,,
610,premium,,
635,premium,,
680,premium,,
700,premium,,
705,premium,,
709,premium,,
720,premium,,
730,premium,,
740,premium,,
750,premium,,
800,premium,,
801,premium,,
802,premium,,
803,premium,,
804,premium,,
805,premium,,
806,premium,,
807,premium,,
810,premium,,
814,premium,,
816,premium,,
853,premium,,
869,premium,,
874,premium,,
875,premium,,
893,premium,,
894,premium,,
895,premium,,
896,premium,,
G,edge,,
M,edge,,
R,edge,,
V,edge,,
W,edge,,
T,edge,,
Y,edge,,
A,edge,,
U,edge,,
E,edge,,
H,edge,,
O,edge,,
001,edge,,
002,edge,,
003,edge,,
004,edge,,
005,edge,,
006,edge,,
007,edge,,
008,edge,,
009,edge,,
010,edge,,
012,edge,,
013,edge,,
014,edge,,
015,edge,,
023,edge,,
025,edge,,
051,edge,,
056,edge,,
059,edge,,
060,edge,,
061,edge,,
063,edge,,
064,edge,,
066,edge,,
073,edge,,
075,edge,,
082,edge,,
083,edge,,
100,edge,,
105,edge,,
109,edge,,
115,edge,,
120,edge,,
140,edge,,
200,edge,,
201,edge,,
203,edge,,
210,edge,,
220,edge,,
240,edge,,
300,edge,,
305,edge,,
310,edge,,
315,edge,,
400,edge,,
