route_id,agency_id,route_type,route_sort_order,route_short_name,route_long_name,route_color,route_text_color
G,NXS Detroit,3,1,G,G-Line,0fa82d,ffffff
M,NXS Detroit,3,2,M,M-Line,3134ce,ffffff
R,NXS Detroit,3,3,R,R-Line,781eb5,ffffff
V,NXS Detroit,3,4,V,V-Line,e295be,000000
W,NXS Detroit,3,5,W,W-Line,cc141d,ffffff
T,NXS Detroit,3,6,T,T-Line,149b9e,ffffff
Y,NXS Detroit,3,7,Y,Y-Line,e1e6ea,000000
A,NXS Detroit,3,8,A,A-Line,eb1aa5,000000
U,NXS Detroit,3,9,U,U-Line,55d424,ffffff
E,NXS Detroit,3,10,E,E-Line,c6920d,ffffff
H,NXS Detroit,3,11,H,H-Line,4f3107,ffffff
O,NXS Detroit,3,12,O,O-Line,c65a0d,ffffff
001,NXS Detroit,3,13,001,Warren,c6920d,ffffff
002,NXS Detroit,3,14,002,Joy / Harper,cc141d,ffffff
003,NXS Detroit,3,15,003,Plymouth / Harper,3134ce,ffffff
004,NXS Detroit,3,16,004,Schoolcraft,3134ce,ffffff
005,NXS Detroit,3,17,005,Davison,3134ce,ffffff
006,NXS Detroit,3,18,006,McNichols,3134ce,ffffff
007,NXS Detroit,3,19,007,Seven Mile,3134ce,ffffff
008,NXS Detroit,3,20,008,Eight Mile,3134ce,ffffff
009,NXS Detroit,3,21,009,Nine Mile,3134ce,ffffff
010,NXS Detroit,3,22,010,Ten Mile,3134ce,ffffff
012,NXS Detroit,3,23,012,Twelve Mile,3134ce,ffffff
013,NXS Detroit,3,24,013,Thirteen Mile,3134ce,ffffff
014,NXS Detroit,3,25,014,Fourteen Mile,3134ce,ffffff
015,NXS Detroit,3,26,015,Fifteen Mile,3134ce,ffffff
023,NXS Detroit,3,27,023,Twenty-Three Mile,3134ce,ffffff
025,NXS Detroit,3,28,025,Ford / McGraw,c6920d,ffffff
051,NXS Detroit,3,29,051,Haggerty / Wayne,0fa82d,ffffff
056,NXS Detroit,3,30,056,Middlebelt,0fa82d,ffffff
059,NXS Detroit,3,31,059,Telegraph,0fa82d,ffffff
060,NXS Detroit,3,32,060,Lahser,0fa82d,ffffff
061,NXS Detroit,3,33,061,Evergreen / Southfield,0fa82d,ffffff
063,NXS Detroit,3,34,063,Greenfield,0fa82d,ffffff
064,NXS Detroit,3,35,064,Schaefer,0fa82d,ffffff
066,NXS Detroit,3,36,066,Rochester / Livernois,0fa82d,ffffff
073,NXS Detroit,3,37,073,Hoover / Conner,0fa82d,ffffff
075,NXS Detroit,3,38,075,Hayes / Canfield,c6920d,ffffff
082,NXS Detroit,3,39,082,Novi / Canton Center,0fa82d,ffffff
083,NXS Detroit,3,40,083,Beck Road,0fa82d,ffffff
100,NXS Detroit,3,41,100,Fort Street,cc141d,ffffff
105,NXS Detroit,3,42,105,Vernor / Ecorse,cc141d,ffffff
109,NXS Detroit,3,43,109,West Jefferson,cc141d,ffffff
115,NXS Detroit,3,44,115,Grosse Ile,0fa82d,ffffff
120,NXS Detroit,3,45,120,Southfield / Oakwood,0fa82d,ffffff
140,NXS Detroit,3,46,140,Eureka Road,3134ce,ffffff
200,NXS Detroit,3,47,200,Michigan,cc141d,ffffff
201,NXS Detroit,3,48,201,Michigan Limited,cc141d,ffffff
203,NXS Detroit,3,49,203,Plymouth,3134ce,ffffff
210,NXS Detroit,3,50,210,South Haggerty,0fa82d,ffffff
220,NXS Detroit,3,51,220,Outer Drive,0fa82d,ffffff
240,NXS Detroit,3,52,240,Ann Arbor Trail,3134ce,ffffff
300,NXS Detroit,3,53,300,Grand River,cc141d,ffffff
305,NXS Detroit,3,54,305,Fenkell,cc141d,ffffff
310,NXS Detroit,3,55,310,Beech Daly,0fa82d,ffffff
315,NXS Detroit,3,56,315,Inkster,0fa82d,ffffff
400,NXS Detroit,3,57,400,Northwestern / Lodge,cc141d,ffffff
405,NXS Detroit,3,58,405,Dexter / Southfield,cc141d,ffffff
