stop_id,stop_name,stop_lat,stop_lon,location_type,stop_code,zone_id
14724,Grand River / Fifteenth (EB),42.3476023,-83.0869174,0,14724,standard
14725,Hancock / Grand River (EB),42.3480266,-83.0869925,0,14725,standard
14726,Grand River / Hancock NS (WB),42.3478878,-83.0869603,0,14726,standard
14727,Second / Martin Luther King Jr (NB),42.3451581,-83.0629599,0,14727,standard
14728,Second / Selden (SB),42.34719,-83.0644405,0,14728,standard
14729,Second / Selden (NB),42.3476341,-83.0643654,0,14729,standard
14730,Second / Alexandrine (SB),42.3485677,-83.0652022,0,14730,standard
14731,Second / Alexandrine (NB),42.3489463,-83.0651298,0,14731,standard
14732,Second / Canfield (SB),42.350774,-83.066479,0,14732,standard
14733,Canfield / Second (EB),42.3510555,-83.0661517,0,14733,standard
14734,Second / Canfield (NB),42.3513409,-83.0665058,0,14734,standard
14735,Warren / Second (EB),42.3552141,-83.0685335,0,14735,standard
14736,Warren / Second (WB),42.3553687,-83.0692631,0,14736,standard
14737,Second / Warren (SB),42.3550238,-83.0688822,0,14737,standard
14738,Schoenherr / Hall Road (NB),42.6278294,-82.9928577,0,14738,standard
14739,Schoenherr / Twenty-One Mile (SB),42.6409477,-82.9936677,0,14739,standard
14740,Schoenherr / Twenty-One Mile (NB),42.6415554,-82.9933834,0,14740,standard
14741,Schoenherr / Twenty-Two Mile (SB),42.6554086,-82.9942685,0,14741,standard
14742,Schoenherr / Twenty-Two Mile (NB),42.656028,-82.9939789,0,14742,standard
14743,Schoenherr / Twenty-Three Mile (SB),42.6700161,-82.994805,0,14743,standard
14744,Van Dyke / Twenty-Three Mile (NB),42.6699214,-83.0337024,0,14744,standard
14745,Van Dyke / Twenty-Four Mile (SB),42.6839103,-83.0345714,0,14745,standard
14746,Liberty / Division (WB),42.2795156,-83.7442464,0,14746,standard
14747,Mack / Chrysler NS (EB),42.3507244,-83.0489963,0,14747,standard
14748,Canfield / Cass (WB),42.351773,-83.0645183,0,14748,standard
14749,Second / Forest (NB),42.3532062,-83.0675679,0,14749,standard
14750,Second / Forest (SB),42.3528434,-83.0676457,0,14750,standard
14751,Oakland CC Quakertown Circle,42.4925148,-83.3728999,0,14751,orchardridge
14752,Oakland CC Farmington Circle,42.4930349,-83.3684313,0,14752,orchardridge
14753,Macomb Community College Park & Ride,42.507894,-82.9773854,0,14753,standard
14412,Vreeland / Telegraph (WB),42.1091158,-83.2857764,0,14412,standard
14394,Flat Rock Meijer,42.1095496,-83.2882816,0,14394,standard
14396,Telegraph / Moses (SB),42.0992812,-83.2919133,0,14396,standard
14395,Telegraph / Leonard (SB),42.1051559,-83.2880616,0,14395,standard
14411,Telegraph / Leonard (NB),42.105522,-83.2874876,0,14411,standard
14410,Telegraph / Moses (NB),42.0994086,-83.2914627,0,14410,standard
14397,Gibraltar / Division (EB),42.0949465,-83.2897836,0,14397,standard
14409,Gibraltar / Division (WB),42.0952888,-83.2899284,0,14409,standard
