trip_id,stop_id,arrival_time,departure_time,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled,timepoint
063-1,380,04:11:00,04:11:00,1,0,0,0.0,1
063-1,7802,04:12:52,04:12:52,46,0,0,1136.4255201390731,0
063-1,7803,04:14:15,04:14:15,88,0,0,1702.0932451858557,0
063-1,7804,04:14:46,04:14:46,104,0,0,1950.1867641273295,0
063-1,381,04:16:00,04:16:00,132,0,0,2464.6252372817703,1
063-1,8853,04:17:56,04:17:56,175,0,0,3021.937555433798,0
063-1,8854,04:18:48,04:18:48,188,0,0,3430.0428856293893,0
063-1,8855,04:19:17,04:19:17,193,0,0,3697.5297475271855,0
063-1,8856,04:19:49,04:19:49,200,0,0,4020.5917714596353,0
063-1,8857,04:21:00,04:21:00,203,0,0,4289.608129499327,1
063-1,8858,04:21:43,04:21:43,205,0,0,4532.95053189534,0
063-1,8859,04:22:19,04:22:19,209,0,0,4863.206807221634,0
063-1,384,04:22:53,04:22:53,223,0,0,5197.282053976672,0
063-1,385,04:23:11,04:23:11,228,0,0,5392.961382145067,0
063-1,8860,04:24:00,04:24:00,243,0,0,5908.400586870288,1
063-1,8861,04:24:41,04:24:41,250,0,0,6255.7845521854615,0
063-1,8862,04:25:07,04:25:07,254,0,0,6514.337594700785,0
063-1,8863,04:25:34,04:25:34,259,0,0,6780.001723684159,0
063-1,8864,04:25:51,04:25:51,261,0,0,6941.0617157036395,0
063-1,8865,04:26:27,04:26:27,271,0,0,7354.86945452313,0
063-1,8866,04:27:01,04:27:01,276,0,0,7699.468319279153,0
063-1,8867,04:27:36,04:27:36,282,0,0,8099.149864328922,0
063-1,8868,04:28:09,04:28:09,291,0,0,8503.845155902372,0
063-1,8869,04:29:00,04:29:00,301,0,0,8910.095003757699,1
063-1,8870,04:29:35,04:29:35,310,0,0,9159.373570292544,0
063-1,8871,04:30:03,04:30:03,314,0,0,9429.318218767417,0
063-1,8872,04:31:04,04:31:04,321,0,0,9711.636734002155,0
063-1,8873,04:31:34,04:31:34,325,0,0,9988.743324595567,0
063-1,8874,04:32:01,04:32:01,328,0,0,10256.556776858422,0
063-1,8875,04:32:28,04:32:28,335,0,0,10516.316140870515,0
063-1,8876,04:32:56,04:32:56,341,0,0,10787.587073385746,0
063-1,8877,04:33:30,04:33:30,344,0,0,11110.800569036304,0
063-1,8878,04:33:52,04:33:52,348,0,0,11323.709581728626,0
063-1,8879,04:34:20,04:34:20,353,0,0,11594.879881583678,0
063-1,8880,04:34:48,04:34:48,356,0,0,11860.283868918024,0
063-1,8881,04:36:00,04:36:00,360,0,0,12123.508575947864,1
063-1,8882,04:36:35,04:36:35,367,0,0,12362.857119847273,0
063-1,8883,04:37:02,04:37:02,374,0,0,12619.971090170156,0
063-1,8884,04:37:50,04:37:50,389,0,0,13190.07405507629,0
063-1,8885,04:38:19,04:38:19,397,0,0,13489.011085051556,0
063-1,8886,04:38:46,04:38:46,403,0,0,13739.894738936051,0
063-1,8887,04:39:12,04:39:12,409,0,0,13988.476916852045,0
063-1,8888,04:40:00,04:40:00,418,0,0,14367.446164068533,1
063-1,8889,04:40:30,04:40:30,426,0,0,14543.742657838911,0
063-1,8890,04:40:58,04:40:58,429,0,0,14810.432296876927,0
063-1,8891,04:41:28,04:41:28,432,0,0,15100.38421221418,0
063-1,8892,04:41:57,04:41:57,438,0,0,15370.037553750257,0
063-1,8893,04:42:36,04:42:36,442,0,0,15747.342289469361,0
063-1,8894,04:43:12,04:43:12,448,0,0,16161.93948337503,0
063-1,8895,04:43:37,04:43:37,454,0,0,16409.57622011096,0
063-1,8896,04:44:10,04:44:10,458,0,0,16754.139151013413,0
063-1,8897,04:44:33,04:44:33,464,0,0,16958.11035421861,0
063-1,8898,04:45:10,04:45:10,476,0,0,17369.12705494164,0
063-1,8899,04:45:47,04:45:47,482,0,0,17755.45831278967,0
063-1,8900,04:46:23,04:46:23,487,0,0,18155.00456995276,0
063-1,8901,04:48:00,04:48:00,496,0,0,18582.242284197426,1
063-1,8902,04:48:44,04:48:44,508,0,0,18963.264059326877,0
063-1,8903,04:49:21,04:49:21,515,0,0,19366.271372158342,0
063-1,8904,04:49:46,04:49:46,520,0,0,19629.208639317545,0
063-1,8905,04:50:17,04:50:17,531,0,0,19927.84599920196,0
063-1,5725,04:51:00,04:51:00,552,0,0,20193.699256380165,1
063-1,5726,04:51:41,04:51:41,562,0,0,20540.191977553146,0
063-1,5727,04:52:04,04:52:04,568,0,0,20778.427649560956,0
063-1,5728,04:52:24,04:52:24,574,0,0,20994.193347836164,0
063-1,5729,04:52:53,04:52:53,582,0,0,21329.294396560563,0
063-1,5730,04:53:33,04:53:33,597,0,0,21807.901867454635,0
063-1,5731,04:54:30,04:54:30,615,0,0,22278.194327994835,0
063-1,2668,04:56:00,04:56:00,634,0,0,22874.713988687636,1
063-1,5542,04:57:35,04:57:35,665,0,0,23756.100730870545,0
063-1,8906,04:58:24,04:58:24,681,0,0,24154.89937156048,0
063-1,8907,04:58:51,04:58:51,686,0,0,24430.730992442346,0
063-1,8908,04:59:12,04:59:12,693,0,0,24640.712284743724,0
063-1,8909,04:59:41,04:59:41,699,0,0,24960.763248901207,0
