trip_id,stop_id,arrival_time,departure_time,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled,timepoint
505X-1,758,07:15:00,07:15:00,1,0,0,0.0,1
505X-1,759,07:15:29,07:15:29,5,0,0,96.1837051269248,0
505X-1,760,07:15:51,07:15:51,13,0,0,200.4580263898008,0
505X-1,761,07:16:31,07:16:31,34,0,0,357.5778388406832,0
505X-1,762,07:17:00,07:17:00,47,0,0,491.7706866631153,0
505X-1,13569,07:17:52,07:17:52,58,0,0,747.0184661948535,0
505X-1,748,07:20:00,07:20:00,81,0,0,1201.779088493625,1
505X-1,763,07:21:05,07:21:05,104,0,0,1538.8517840200184,0
505X-1,764,07:22:00,07:22:00,116,0,0,1789.98783421249,1
505X-1,765,07:22:27,07:22:27,122,0,0,1909.6902604595107,0
505X-1,766,07:22:48,07:22:48,129,0,0,2087.9529014701398,0
505X-1,767,07:23:22,07:23:22,140,0,0,2306.0944139115236,0
505X-1,770,07:24:23,07:24:23,154,0,0,2700.02733144724,0
505X-1,46,07:26:00,07:26:00,178,0,0,3228.272791018868,1
505X-1,774,07:27:04,07:27:04,209,0,0,3873.409460658996,0
505X-1,47,07:28:00,07:28:00,233,0,0,4417.509767722838,1
505X-1,779,07:29:01,07:29:01,263,0,0,5042.655223636235,0
505X-1,782,07:30:00,07:30:00,282,0,0,5775.676434989327,1
505X-1,48,07:30:39,07:30:39,297,0,0,6062.742250709362,0
505X-1,785,07:32:08,07:32:08,327,0,0,6904.114895311034,0
505X-1,49,07:33:34,07:33:34,366,0,0,8046.801990311215,0
505X-1,793,07:35:00,07:35:00,396,0,0,9160.766724208703,0
505X-1,796,07:36:04,07:36:04,418,0,0,9862.271792118647,0
505X-1,50,07:38:00,07:38:00,443,0,0,10620.419500143827,1
505X-1,801,07:39:19,07:39:19,471,0,0,11480.004774629451,0
505X-1,803,07:39:57,07:39:57,484,0,0,11950.808884834729,0
505X-1,806,07:40:48,07:40:48,512,0,0,12755.813831705536,0
505X-1,809,07:42:00,07:42:00,537,0,0,13740.588887769134,1
505X-1,814,07:43:33,07:43:33,561,0,0,14928.789395608706,0
505X-1,816,07:45:00,07:45:00,577,0,0,15559.455112500049,1
505X-1,819,07:46:21,07:46:21,598,0,0,16512.157164561308,0
505X-1,822,07:48:00,07:48:00,626,0,0,17280.26690841163,1
505X-1,825,07:49:21,07:49:21,657,0,0,18300.66775595814,0
505X-1,13867,07:51:00,07:51:00,683,0,0,19122.418225150053,1
505X-1,832,07:52:13,07:52:13,717,0,0,20190.953066054266,0
505X-1,835,07:54:00,07:54:00,736,0,0,21071.20813219379,1
505X-1,838,07:55:11,07:55:11,761,0,0,22064.035510699574,0
505X-1,841,07:56:08,07:56:08,784,0,0,23004.842555712064,0
505X-1,844,07:57:01,07:57:01,813,0,0,23954.125668336892,0
505X-1,847,07:58:00,07:58:00,842,0,0,24798.923301798684,1
505X-1,848,07:58:27,07:58:27,850,0,0,24962.193671052933,0
505X-1,851,07:59:22,07:59:22,869,0,0,25906.55433409472,0
505X-1,854,08:00:20,08:00:20,887,0,0,26870.1392130447,0
505X-1,1093,08:01:44,08:01:44,908,0,0,27809.72936915634,0
505X-1,1097,08:03:11,08:03:11,937,0,0,28678.839601165797,0
505X-1,1100,08:04:11,08:04:11,951,0,0,29520.129586310453,0
505X-1,1103,08:06:00,08:06:00,970,0,0,30353.124806792504,1
505X-1,1107,08:07:26,08:07:26,1006,0,0,31492.487014729493,0
505X-1,1110,08:08:19,08:08:19,1017,0,0,32226.31625628288,0
505X-1,140,08:10:00,08:10:00,1050,0,0,33332.985868274365,1
505X-1,1118,08:12:26,08:12:26,1100,0,0,35112.89378511505,0
505X-1,1123,08:16:00,08:16:00,1169,0,0,37252.2391683136,1
505X-2,758,11:30:00,11:30:00,1,0,0,0.0,1
505X-2,759,11:30:29,11:30:29,5,0,0,96.1837051269248,0
505X-2,760,11:30:51,11:30:51,13,0,0,200.4580263898008,0
505X-2,761,11:31:31,11:31:31,34,0,0,357.5778388406832,0
505X-2,762,11:32:00,11:32:00,47,0,0,491.7706866631153,0
505X-2,13569,11:32:52,11:32:52,58,0,0,747.0184661948535,0
505X-2,748,11:35:00,11:35:00,81,0,0,1201.779088493625,1
505X-2,763,11:36:05,11:36:05,104,0,0,1538.8517840200184,0
505X-2,764,11:37:00,11:37:00,116,0,0,1789.98783421249,1
505X-2,765,11:37:27,11:37:27,122,0,0,1909.6902604595107,0
505X-2,766,11:37:48,11:37:48,129,0,0,2087.9529014701398,0
505X-2,767,11:38:22,11:38:22,140,0,0,2306.0944139115236,0
505X-2,770,11:39:23,11:39:23,154,0,0,2700.02733144724,0
505X-2,46,11:41:00,11:41:00,178,0,0,3228.272791018868,1
505X-2,774,11:42:04,11:42:04,209,0,0,3873.409460658996,0
505X-2,47,11:43:00,11:43:00,233,0,0,4417.509767722838,1
505X-2,779,11:44:01,11:44:01,263,0,0,5042.655223636235,0
505X-2,782,11:45:00,11:45:00,282,0,0,5775.676434989327,1
505X-2,48,11:45:39,11:45:39,297,0,0,6062.742250709362,0
505X-2,785,11:47:08,11:47:08,327,0,0,6904.114895311034,0
505X-2,49,11:48:34,11:48:34,366,0,0,8046.801990311215,0
505X-2,793,11:50:00,11:50:00,396,0,0,9160.766724208703,0
505X-2,796,11:51:04,11:51:04,418,0,0,9862.271792118647,0
505X-2,50,11:53:00,11:53:00,443,0,0,10620.419500143827,1
505X-2,801,11:54:19,11:54:19,471,0,0,11480.004774629451,0
505X-2,803,11:54:57,11:54:57,484,0,0,11950.808884834729,0
505X-2,806,11:55:48,11:55:48,512,0,0,12755.813831705536,0
505X-2,809,11:57:00,11:57:00,537,0,0,13740.588887769134,1
505X-2,814,11:58:33,11:58:33,561,0,0,14928.789395608706,0
505X-2,816,12:00:00,12:00:00,577,0,0,15559.455112500049,1
505X-2,819,12:01:21,12:01:21,598,0,0,16512.157164561308,0
505X-2,822,12:03:00,12:03:00,626,0,0,17280.26690841163,1
505X-2,825,12:04:21,12:04:21,657,0,0,18300.66775595814,0
505X-2,13867,12:06:00,12:06:00,683,0,0,19122.418225150053,1
505X-2,832,12:07:13,12:07:13,717,0,0,20190.953066054266,0
505X-2,835,12:09:00,12:09:00,736,0,0,21071.20813219379,1
505X-2,838,12:10:11,12:10:11,761,0,0,22064.035510699574,0
505X-2,841,12:11:08,12:11:08,784,0,0,23004.842555712064,0
505X-2,844,12:12:01,12:12:01,813,0,0,23954.125668336892,0
505X-2,847,12:13:00,12:13:00,842,0,0,24798.923301798684,1
505X-2,848,12:13:27,12:13:27,850,0,0,24962.193671052933,0
505X-2,851,12:14:22,12:14:22,869,0,0,25906.55433409472,0
505X-2,854,12:15:20,12:15:20,887,0,0,26870.1392130447,0
505X-2,1093,12:16:44,12:16:44,908,0,0,27809.72936915634,0
505X-2,1097,12:18:11,12:18:11,937,0,0,28678.839601165797,0
505X-2,1100,12:19:11,12:19:11,951,0,0,29520.129586310453,0
505X-2,1103,12:21:00,12:21:00,970,0,0,30353.124806792504,1
505X-2,1107,12:22:26,12:22:26,1006,0,0,31492.487014729493,0
505X-2,1110,12:23:19,12:23:19,1017,0,0,32226.31625628288,0
505X-2,140,12:25:00,12:25:00,1050,0,0,33332.985868274365,1
505X-2,1118,12:27:26,12:27:26,1100,0,0,35112.89378511505,0
505X-2,1123,12:31:00,12:31:00,1169,0,0,37252.2391683136,1
505X-3,758,12:20:00,12:20:00,1,0,0,0.0,1
505X-3,759,12:20:29,12:20:29,5,0,0,96.1837051269248,0
505X-3,760,12:20:51,12:20:51,13,0,0,200.4580263898008,0
505X-3,761,12:21:31,12:21:31,34,0,0,357.5778388406832,0
505X-3,762,12:22:00,12:22:00,47,0,0,491.7706866631153,0
505X-3,13569,12:22:52,12:22:52,58,0,0,747.0184661948535,0
505X-3,748,12:25:00,12:25:00,81,0,0,1201.779088493625,1
505X-3,763,12:26:05,12:26:05,104,0,0,1538.8517840200184,0
505X-3,764,12:27:00,12:27:00,116,0,0,1789.98783421249,1
