trip_id,stop_id,arrival_time,departure_time,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled,timepoint
A-1,622,04:40:00,04:40:00,1,0,0,0.0,1
A-1,625,04:44:00,04:44:00,68,0,0,2434.375936707274,1
A-1,34,04:46:00,04:46:00,110,0,0,4708.753411605881,1
A-1,35,04:49:00,04:49:00,218,0,0,8179.195525119348,1
A-1,36,04:54:00,04:54:00,423,0,0,13191.885291657594,1
A-1,37,04:58:00,04:58:00,543,0,0,16224.93211183908,1
A-1,667,05:01:00,05:01:00,602,0,0,18699.429436964096,1
A-1,14148,05:05:00,05:05:00,692,0,0,22192.22886318458,1
A-1,683,05:07:00,05:07:00,717,0,0,23197.97872019093,1
A-1,688,05:10:00,05:10:00,770,0,0,25593.86176485795,1
A-1,39,05:14:00,05:14:00,850,0,0,28696.85812736936,1
A-1,40,05:17:00,05:17:00,918,0,0,30575.514222174395,1
A-1,709,05:20:00,05:20:00,980,0,0,32439.161395030435,1
A-1,721,05:25:00,05:25:00,1102,0,0,36170.04948432435,1
A-1,3165,05:29:00,05:29:00,1211,0,0,38961.5144234989,1
A-1,2862,05:33:00,05:33:00,1271,0,0,41432.56889607717,1
A-1,1058,05:35:00,05:35:00,1320,0,0,42450.88959166739,1
A-2,622,05:18:00,05:18:00,1,0,0,0.0,1
A-2,625,05:22:00,05:22:00,68,0,0,2434.375936707274,1
A-2,34,05:24:00,05:24:00,110,0,0,4708.753411605881,1
A-2,35,05:27:00,05:27:00,218,0,0,8179.195525119348,1
A-2,36,05:32:00,05:32:00,423,0,0,13191.885291657594,1
A-2,37,05:36:00,05:36:00,543,0,0,16224.93211183908,1
A-2,667,05:39:00,05:39:00,602,0,0,18699.429436964096,1
A-2,14148,05:43:00,05:43:00,692,0,0,22192.22886318458,1
A-2,683,05:45:00,05:45:00,717,0,0,23197.97872019093,1
A-2,688,05:48:00,05:48:00,770,0,0,25593.86176485795,1
A-2,39,05:52:00,05:52:00,850,0,0,28696.85812736936,1
A-2,40,05:55:00,05:55:00,918,0,0,30575.514222174395,1
A-2,709,05:58:00,05:58:00,980,0,0,32439.161395030435,1
A-2,721,06:03:00,06:03:00,1102,0,0,36170.04948432435,1
A-2,3165,06:07:00,06:07:00,1211,0,0,38961.5144234989,1
A-2,2862,06:11:00,06:11:00,1271,0,0,41432.56889607717,1
A-2,1058,06:13:00,06:13:00,1320,0,0,42450.88959166739,1
A-3,622,07:35:00,07:35:00,1,0,0,0.0,1
A-3,625,07:39:00,07:39:00,68,0,0,2434.375936707274,1
A-3,34,07:41:00,07:41:00,110,0,0,4708.753411605881,1
A-3,35,07:44:00,07:44:00,218,0,0,8179.195525119348,1
A-3,36,07:49:00,07:49:00,423,0,0,13191.885291657594,1
A-3,37,07:53:00,07:53:00,543,0,0,16224.93211183908,1
A-3,667,07:56:00,07:56:00,602,0,0,18699.429436964096,1
A-3,14148,08:00:00,08:00:00,692,0,0,22192.22886318458,1
A-3,683,08:02:00,08:02:00,717,0,0,23197.97872019093,1
A-3,688,08:05:00,08:05:00,770,0,0,25593.86176485795,1
A-3,39,08:09:00,08:09:00,850,0,0,28696.85812736936,1
A-3,40,08:12:00,08:12:00,918,0,0,30575.514222174395,1
A-3,709,08:15:00,08:15:00,980,0,0,32439.161395030435,1
A-3,721,08:20:00,08:20:00,1102,0,0,36170.04948432435,1
A-3,3165,08:24:00,08:24:00,1211,0,0,38961.5144234989,1
A-3,2862,08:28:00,08:28:00,1271,0,0,41432.56889607717,1
A-3,1058,08:30:00,08:30:00,1320,0,0,42450.88959166739,1
A-4,622,09:15:00,09:15:00,1,0,0,0.0,1
A-4,625,09:19:00,09:19:00,68,0,0,2434.375936707274,1
A-4,34,09:21:00,09:21:00,110,0,0,4708.753411605881,1
A-4,35,09:24:00,09:24:00,218,0,0,8179.195525119348,1
A-4,36,09:29:00,09:29:00,423,0,0,13191.885291657594,1
A-4,37,09:33:00,09:33:00,543,0,0,16224.93211183908,1
A-4,667,09:36:00,09:36:00,602,0,0,18699.429436964096,1
A-4,14148,09:40:00,09:40:00,692,0,0,22192.22886318458,1
A-4,683,09:42:00,09:42:00,717,0,0,23197.97872019093,1
A-4,688,09:45:00,09:45:00,770,0,0,25593.86176485795,1
A-4,39,09:49:00,09:49:00,850,0,0,28696.85812736936,1
A-4,40,09:52:00,09:52:00,918,0,0,30575.514222174395,1
A-4,709,09:55:00,09:55:00,980,0,0,32439.161395030435,1
A-4,721,10:00:00,10:00:00,1102,0,0,36170.04948432435,1
A-4,3165,10:04:00,10:04:00,1211,0,0,38961.5144234989,1
A-4,2862,10:08:00,10:08:00,1271,0,0,41432.56889607717,1
A-4,1058,10:10:00,10:10:00,1320,0,0,42450.88959166739,1
A-5,622,11:20:00,11:20:00,1,0,0,0.0,1
A-5,625,11:24:00,11:24:00,68,0,0,2434.375936707274,1
A-5,34,11:26:00,11:26:00,110,0,0,4708.753411605881,1
A-5,35,11:29:00,11:29:00,218,0,0,8179.195525119348,1
A-5,36,11:34:00,11:34:00,423,0,0,13191.885291657594,1
A-5,37,11:38:00,11:38:00,543,0,0,16224.93211183908,1
A-5,667,11:41:00,11:41:00,602,0,0,18699.429436964096,1
A-5,14148,11:45:00,11:45:00,692,0,0,22192.22886318458,1
A-5,683,11:47:00,11:47:00,717,0,0,23197.97872019093,1
A-5,688,11:50:00,11:50:00,770,0,0,25593.86176485795,1
A-5,39,11:54:00,11:54:00,850,0,0,28696.85812736936,1
A-5,40,11:57:00,11:57:00,918,0,0,30575.514222174395,1
A-5,709,12:00:00,12:00:00,980,0,0,32439.161395030435,1
A-5,721,12:05:00,12:05:00,1102,0,0,36170.04948432435,1
A-5,3165,12:09:00,12:09:00,1211,0,0,38961.5144234989,1
A-5,2862,12:13:00,12:13:00,1271,0,0,41432.56889607717,1
A-5,1058,12:15:00,12:15:00,1320,0,0,42450.88959166739,1
A-6,622,12:45:00,12:45:00,1,0,0,0.0,1
A-6,625,12:49:00,12:49:00,68,0,0,2434.375936707274,1
A-6,34,12:51:00,12:51:00,110,0,0,4708.753411605881,1
A-6,35,12:54:00,12:54:00,218,0,0,8179.195525119348,1
A-6,36,12:59:00,12:59:00,423,0,0,13191.885291657594,1
A-6,37,13:03:00,13:03:00,543,0,0,16224.93211183908,1
A-6,667,13:06:00,13:06:00,602,0,0,18699.429436964096,1
A-6,14148,13:10:00,13:10:00,692,0,0,22192.22886318458,1
A-6,683,13:12:00,13:12:00,717,0,0,23197.97872019093,1
A-6,688,13:15:00,13:15:00,770,0,0,25593.86176485795,1
A-6,39,13:19:00,13:19:00,850,0,0,28696.85812736936,1
A-6,40,13:22:00,13:22:00,918,0,0,30575.514222174395,1
A-6,709,13:25:00,13:25:00,980,0,0,32439.161395030435,1
A-6,721,13:30:00,13:30:00,1102,0,0,36170.04948432435,1
A-6,3165,13:34:00,13:34:00,1211,0,0,38961.5144234989,1
A-6,2862,13:38:00,13:38:00,1271,0,0,41432.56889607717,1
A-6,1058,13:40:00,13:40:00,1320,0,0,42450.88959166739,1
A-7,622,16:20:00,16:20:00,1,0,0,0.0,1
A-7,625,16:24:00,16:24:00,68,0,0,2434.375936707274,1
A-7,34,16:26:00,16:26:00,110,0,0,4708.753411605881,1
