trip_id,stop_id,arrival_time,departure_time,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled,timepoint
E-1,143,05:02:00,05:02:00,1,0,0,0.0,1
E-1,144,05:07:00,05:07:00,119,0,0,3271.975640444793,1
E-1,3344,05:09:00,05:09:00,148,0,0,4939.032766211816,1
E-1,194,05:12:00,05:12:00,212,0,0,8035.098013815024,1
E-1,1600,05:16:00,05:16:00,293,0,0,11308.110138347725,1
E-1,184,05:21:00,05:21:00,452,0,0,16206.886849821685,1
E-1,195,05:23:00,05:23:00,504,0,0,18048.583765332034,1
E-1,196,05:26:00,05:26:00,585,0,0,20731.45656626533,1
E-1,1356,05:30:00,05:30:00,669,0,0,24461.204736396292,1
E-1,1363,05:33:00,05:33:00,709,0,0,26818.34883880587,1
E-1,1368,05:35:00,05:35:00,736,0,0,28195.186306605163,1
E-1,1374,05:38:00,05:38:00,771,0,0,30042.185855193347,1
E-1,1380,05:40:00,05:40:00,809,0,0,31753.37941921263,1
E-1,5627,05:43:00,05:43:00,893,0,0,34108.12046781608,1
E-1,13616,05:46:00,05:46:00,962,0,0,36999.3752859659,1
E-1,4045,05:48:00,05:48:00,1003,0,0,39657.28305487098,1
E-1,200,05:51:00,05:51:00,1078,0,0,42993.675025936835,1
E-1,3683,05:54:00,05:54:00,1113,0,0,45314.21820003081,1
E-2,143,05:22:00,05:22:00,1,0,0,0.0,1
E-2,144,05:27:00,05:27:00,119,0,0,3271.975640444793,1
E-2,3344,05:29:00,05:29:00,148,0,0,4939.032766211816,1
E-2,194,05:32:00,05:32:00,212,0,0,8035.098013815024,1
E-2,1600,05:36:00,05:36:00,293,0,0,11308.110138347725,1
E-2,184,05:41:00,05:41:00,452,0,0,16206.886849821685,1
E-2,195,05:43:00,05:43:00,504,0,0,18048.583765332034,1
E-2,196,05:46:00,05:46:00,585,0,0,20731.45656626533,1
E-2,1356,05:50:00,05:50:00,669,0,0,24461.204736396292,1
E-2,1363,05:53:00,05:53:00,709,0,0,26818.34883880587,1
E-2,1368,05:55:00,05:55:00,736,0,0,28195.186306605163,1
E-2,1374,05:58:00,05:58:00,771,0,0,30042.185855193347,1
E-2,1380,06:00:00,06:00:00,809,0,0,31753.37941921263,1
E-2,5627,06:03:00,06:03:00,893,0,0,34108.12046781608,1
E-2,13616,06:06:00,06:06:00,962,0,0,36999.3752859659,1
E-2,4045,06:08:00,06:08:00,1003,0,0,39657.28305487098,1
E-2,200,06:11:00,06:11:00,1078,0,0,42993.675025936835,1
E-2,3683,06:14:00,06:14:00,1113,0,0,45314.21820003081,1
E-3,143,05:42:00,05:42:00,1,0,0,0.0,1
E-3,144,05:47:00,05:47:00,119,0,0,3271.975640444793,1
E-3,3344,05:49:00,05:49:00,148,0,0,4939.032766211816,1
