trip_id,stop_id,arrival_time,departure_time,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled,timepoint
G-1,2044,05:01:00,05:01:00,1,0,0,0.0,1
G-1,13547,05:04:00,05:04:00,74,0,0,1465.16457591045,1
G-1,1171,05:08:00,05:08:00,147,0,0,2519.68384408412,1
G-1,70,05:10:00,05:10:00,163,0,0,3170.9900771187167,1
G-1,71,05:13:00,05:13:00,216,0,0,5168.196556919129,1
G-1,1181,05:15:00,05:15:00,252,0,0,6842.451977361411,1
G-1,1193,05:21:00,05:21:00,352,0,0,10822.005163388725,1
G-1,75,05:25:00,05:25:00,453,0,0,14536.626408681968,1
G-1,1212,05:28:00,05:28:00,502,0,0,16441.147856078507,1
G-1,1219,05:31:00,05:31:00,542,0,0,18210.39486978972,1
G-1,1225,05:34:00,05:34:00,581,0,0,20089.992080839253,1
G-1,1229,05:36:00,05:36:00,605,0,0,21354.856604002096,1
G-1,1237,05:39:00,05:39:00,653,0,0,23726.04779721427,1
G-1,13498,05:42:00,05:42:00,717,0,0,26735.43480566805,1
G-1,1255,05:45:00,05:45:00,762,0,0,29320.14750466542,1
G-1,83,05:50:00,05:50:00,864,0,0,34416.03297284961,1
G-1,84,05:54:00,05:54:00,954,0,0,38593.69011481971,1
G-1,13502,05:59:00,05:59:00,1095,0,0,44244.98711137043,1
G-2,2044,05:31:00,05:31:00,1,0,0,0.0,1
G-2,13547,05:34:00,05:34:00,74,0,0,1465.16457591045,1
G-2,1171,05:38:00,05:38:00,147,0,0,2519.68384408412,1
G-2,70,05:40:00,05:40:00,163,0,0,3170.9900771187167,1
G-2,71,05:43:00,05:43:00,216,0,0,5168.196556919129,1
G-2,1181,05:45:00,05:45:00,252,0,0,6842.451977361411,1
G-2,1193,05:51:00,05:51:00,352,0,0,10822.005163388725,1
G-2,75,05:55:00,05:55:00,453,0,0,14536.626408681968,1
G-2,1212,05:58:00,05:58:00,502,0,0,16441.147856078507,1
G-2,1219,06:01:00,06:01:00,542,0,0,18210.39486978972,1
G-2,1225,06:04:00,06:04:00,581,0,0,20089.992080839253,1
G-2,1229,06:06:00,06:06:00,605,0,0,21354.856604002096,1
G-2,1237,06:09:00,06:09:00,653,0,0,23726.04779721427,1
G-2,13498,06:12:00,06:12:00,717,0,0,26735.43480566805,1
G-2,1255,06:15:00,06:15:00,762,0,0,29320.14750466542,1
G-2,83,06:20:00,06:20:00,864,0,0,34416.03297284961,1
G-2,84,06:24:00,06:24:00,954,0,0,38593.69011481971,1
G-2,13502,06:29:00,06:29:00,1095,0,0,44244.98711137043,1
G-3,2044,06:01:00,06:01:00,1,0,0,0.0,1
G-3,13547,06:04:00,06:04:00,74,0,0,1465.16457591045,1
G-3,1171,06:08:00,06:08:00,147,0,0,2519.68384408412,1
G-3,70,06:10:00,06:10:00,163,0,0,3170.9900771187167,1
G-3,71,06:13:00,06:13:00,216,0,0,5168.196556919129,1
G-3,1181,06:15:00,06:15:00,252,0,0,6842.451977361411,1
G-3,1193,06:21:00,06:21:00,352,0,0,10822.005163388725,1
G-3,75,06:25:00,06:25:00,453,0,0,14536.626408681968,1
G-3,1212,06:28:00,06:28:00,502,0,0,16441.147856078507,1
G-3,1219,06:31:00,06:31:00,542,0,0,18210.39486978972,1
G-3,1225,06:34:00,06:34:00,581,0,0,20089.992080839253,1
G-3,1229,06:36:00,06:36:00,605,0,0,21354.856604002096,1
G-3,1237,06:39:00,06:39:00,653,0,0,23726.04779721427,1
G-3,13498,06:42:00,06:42:00,717,0,0,26735.43480566805,1
G-3,1255,06:45:00,06:45:00,762,0,0,29320.14750466542,1
G-3,83,06:50:00,06:50:00,864,0,0,34416.03297284961,1
G-3,84,06:54:00,06:54:00,954,0,0,38593.69011481971,1
G-3,13502,06:59:00,06:59:00,1095,0,0,44244.98711137043,1
G-4,2044,06:21:00,06:21:00,1,0,0,0.0,1
G-4,13547,06:24:00,06:24:00,74,0,0,1465.16457591045,1
G-4,1171,06:28:00,06:28:00,147,0,0,2519.68384408412,1
G-4,70,06:30:00,06:30:00,163,0,0,3170.9900771187167,1
G-4,71,06:33:00,06:33:00,216,0,0,5168.196556919129,1
G-4,1181,06:35:00,06:35:00,252,0,0,6842.451977361411,1
G-4,1193,06:41:00,06:41:00,352,0,0,10822.005163388725,1
G-4,75,06:45:00,06:45:00,453,0,0,14536.626408681968,1
G-4,1212,06:48:00,06:48:00,502,0,0,16441.147856078507,1
G-4,1219,06:51:00,06:51:00,542,0,0,18210.39486978972,1
G-4,1225,06:54:00,06:54:00,581,0,0,20089.992080839253,1
G-4,1229,06:56:00,06:56:00,605,0,0,21354.856604002096,1
G-4,1237,06:59:00,06:59:00,653,0,0,23726.04779721427,1
G-4,13498,07:02:00,07:02:00,717,0,0,26735.43480566805,1
G-4,1255,07:05:00,07:05:00,762,0,0,29320.14750466542,1
G-4,83,07:10:00,07:10:00,864,0,0,34416.03297284961,1
G-4,84,07:14:00,07:14:00,954,0,0,38593.69011481971,1
G-4,13502,07:19:00,07:19:00,1095,0,0,44244.98711137043,1
G-5,2044,06:41:00,06:41:00,1,0,0,0.0,1
G-5,13547,06:44:00,06:44:00,74,0,0,1465.16457591045,1
G-5,1171,06:48:00,06:48:00,147,0,0,2519.68384408412,1
G-5,70,06:50:00,06:50:00,163,0,0,3170.9900771187167,1
G-5,71,06:53:00,06:53:00,216,0,0,5168.196556919129,1
G-5,1181,06:55:00,06:55:00,252,0,0,6842.451977361411,1
G-5,1193,07:01:00,07:01:00,352,0,0,10822.005163388725,1
G-5,75,07:05:00,07:05:00,453,0,0,14536.626408681968,1
G-5,1212,07:08:00,07:08:00,502,0,0,16441.147856078507,1
G-5,1219,07:11:00,07:11:00,542,0,0,18210.39486978972,1
G-5,1225,07:14:00,07:14:00,581,0,0,20089.992080839253,1
G-5,1229,07:16:00,07:16:00,605,0,0,21354.856604002096,1
