trip_id,stop_id,arrival_time,departure_time,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled,timepoint
H-1,60,03:57:00,03:57:00,1,0,0,0.0,1
H-1,61,04:00:00,04:00:00,30,0,0,1064.5812370925023,1
H-1,14894,04:08:00,04:08:00,157,0,0,7763.625207792983,1
H-1,153,04:12:00,04:12:00,284,0,0,12550.76806468457,1
H-1,9431,04:16:00,04:16:00,387,0,0,17649.642914760454,1
H-1,3336,04:20:00,04:20:00,462,0,0,21572.508992808624,1
H-1,1548,04:24:00,04:24:00,530,0,0,27416.11050388183,1
H-1,157,04:28:00,04:28:00,616,0,0,31136.825681548762,1
H-1,158,04:31:00,04:31:00,668,0,0,33888.6506648129,1
H-1,159,04:36:00,04:36:00,783,0,0,39325.37216445019,1
H-1,86,04:39:00,04:39:00,827,0,0,41478.85418611195,1
H-1,83,04:44:00,04:44:00,930,0,0,45863.93978209858,1
H-2,60,04:17:00,04:17:00,1,0,0,0.0,1
H-2,61,04:20:00,04:20:00,30,0,0,1064.5812370925023,1
H-2,14894,04:28:00,04:28:00,157,0,0,7763.625207792983,1
H-2,153,04:32:00,04:32:00,284,0,0,12550.76806468457,1
H-2,9431,04:36:00,04:36:00,387,0,0,17649.642914760454,1
H-2,3336,04:40:00,04:40:00,462,0,0,21572.508992808624,1
H-2,1548,04:44:00,04:44:00,530,0,0,27416.11050388183,1
H-2,157,04:48:00,04:48:00,616,0,0,31136.825681548762,1
H-2,158,04:51:00,04:51:00,668,0,0,33888.6506648129,1
H-2,159,04:56:00,04:56:00,783,0,0,39325.37216445019,1
H-2,86,04:59:00,04:59:00,827,0,0,41478.85418611195,1
H-2,83,05:04:00,05:04:00,930,0,0,45863.93978209858,1
H-3,60,04:37:00,04:37:00,1,0,0,0.0,1
H-3,61,04:40:00,04:40:00,30,0,0,1064.5812370925023,1
H-3,14894,04:48:00,04:48:00,157,0,0,7763.625207792983,1
H-3,153,04:52:00,04:52:00,284,0,0,12550.76806468457,1
H-3,9431,04:56:00,04:56:00,387,0,0,17649.642914760454,1
H-3,3336,05:00:00,05:00:00,462,0,0,21572.508992808624,1
H-3,1548,05:04:00,05:04:00,530,0,0,27416.11050388183,1
H-3,157,05:08:00,05:08:00,616,0,0,31136.825681548762,1
H-3,158,05:11:00,05:11:00,668,0,0,33888.6506648129,1
H-3,159,05:16:00,05:16:00,783,0,0,39325.37216445019,1
H-3,86,05:19:00,05:19:00,827,0,0,41478.85418611195,1
H-3,83,05:24:00,05:24:00,930,0,0,45863.93978209858,1
H-4,61,05:00:00,05:00:00,1,0,0,0.0,1
H-4,14894,05:08:00,05:08:00,128,0,0,6699.043970700483,1
H-4,153,05:12:00,05:12:00,255,0,0,11486.186827592073,1
H-4,9431,05:16:00,05:16:00,358,0,0,16585.06167766796,1
H-4,3336,05:20:00,05:20:00,433,0,0,20507.927755716126,1
H-4,1548,05:24:00,05:24:00,501,0,0,26351.529266789334,1
H-4,157,05:28:00,05:28:00,587,0,0,30072.244444456264,1
H-4,158,05:31:00,05:31:00,639,0,0,32824.06942772037,1
H-4,159,05:36:00,05:36:00,754,0,0,38260.790927357666,1
H-4,86,05:39:00,05:39:00,798,0,0,40414.272949019425,1
H-4,83,05:44:00,05:44:00,901,0,0,44799.35854500606,1
H-5,61,05:20:00,05:20:00,1,0,0,0.0,1
H-5,14894,05:28:00,05:28:00,128,0,0,6699.043970700483,1
H-5,153,05:32:00,05:32:00,255,0,0,11486.186827592073,1
H-5,9431,05:36:00,05:36:00,358,0,0,16585.06167766796,1
H-5,3336,05:40:00,05:40:00,433,0,0,20507.927755716126,1
H-5,1548,05:44:00,05:44:00,501,0,0,26351.529266789334,1
H-5,157,05:48:00,05:48:00,587,0,0,30072.244444456264,1
H-5,158,05:51:00,05:51:00,639,0,0,32824.06942772037,1
H-5,159,05:56:00,05:56:00,754,0,0,38260.790927357666,1
H-5,86,05:59:00,05:59:00,798,0,0,40414.272949019425,1
H-5,83,06:04:00,06:04:00,901,0,0,44799.35854500606,1
H-6,61,05:40:00,05:40:00,1,0,0,0.0,1
H-6,14894,05:48:00,05:48:00,128,0,0,6699.043970700483,1
H-6,153,05:52:00,05:52:00,255,0,0,11486.186827592073,1
H-6,9431,05:56:00,05:56:00,358,0,0,16585.06167766796,1
H-6,3336,06:00:00,06:00:00,433,0,0,20507.927755716126,1
H-6,1548,06:04:00,06:04:00,501,0,0,26351.529266789334,1
H-6,157,06:08:00,06:08:00,587,0,0,30072.244444456264,1
H-6,158,06:11:00,06:11:00,639,0,0,32824.06942772037,1
H-6,159,06:16:00,06:16:00,754,0,0,38260.790927357666,1
H-6,86,06:19:00,06:19:00,798,0,0,40414.272949019425,1
H-6,83,06:24:00,06:24:00,901,0,0,44799.35854500606,1
H-7,61,06:00:00,06:00:00,1,0,0,0.0,1
H-7,14894,06:08:00,06:08:00,128,0,0,6699.043970700483,1
H-7,153,06:12:00,06:12:00,255,0,0,11486.186827592073,1
H-7,9431,06:16:00,06:16:00,358,0,0,16585.06167766796,1
H-7,3336,06:20:00,06:20:00,433,0,0,20507.927755716126,1
H-7,1548,06:24:00,06:24:00,501,0,0,26351.529266789334,1
H-7,157,06:28:00,06:28:00,587,0,0,30072.244444456264,1
H-7,158,06:31:00,06:31:00,639,0,0,32824.06942772037,1
H-7,159,06:36:00,06:36:00,754,0,0,38260.790927357666,1
H-7,86,06:39:00,06:39:00,798,0,0,40414.272949019425,1
H-7,83,06:44:00,06:44:00,901,0,0,44799.35854500606,1
H-8,61,06:15:00,06:15:00,1,0,0,0.0,1
H-8,14894,06:23:00,06:23:00,128,0,0,6699.043970700483,1
H-8,153,06:27:00,06:27:00,255,0,0,11486.186827592073,1
