trip_id,stop_id,arrival_time,departure_time,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled,timepoint
M-1,12,04:30:00,04:30:00,1,0,0,0.0,1
M-1,1974,04:33:00,04:33:00,110,0,0,3457.5540318718645,1
M-1,10,04:38:00,04:38:00,178,0,0,7845.510927786642,1
M-1,357,04:40:00,04:40:00,207,0,0,9545.689057419935,1
M-1,362,04:43:00,04:43:00,236,0,0,11216.456656605511,1
M-1,371,04:47:00,04:47:00,304,0,0,14417.707698753593,1
M-1,14,04:51:00,04:51:00,416,0,0,17513.27520711297,1
M-1,384,04:54:00,04:54:00,461,0,0,20427.41745892758,1
M-1,15,04:57:00,04:57:00,527,0,0,22746.792135352425,1
M-1,16,05:00:00,05:00:00,589,0,0,24450.471177908956,1
M-1,17,05:04:00,05:04:00,717,0,0,27516.92405450168,1
M-1,18,05:09:00,05:09:00,839,0,0,31105.882999340243,1
M-1,427,05:12:00,05:12:00,901,0,0,32688.027686811118,1
M-1,13547,05:14:00,05:14:00,946,0,0,33522.374203828556,1
M-1,205,05:18:00,05:18:00,1004,0,0,34563.689635286355,1
M-2,12,04:50:00,04:50:00,1,0,0,0.0,1
M-2,1974,04:53:00,04:53:00,110,0,0,3457.5540318718645,1
M-2,10,04:58:00,04:58:00,178,0,0,7845.510927786642,1
M-2,357,05:00:00,05:00:00,207,0,0,9545.689057419935,1
M-2,362,05:03:00,05:03:00,236,0,0,11216.456656605511,1
M-2,371,05:07:00,05:07:00,304,0,0,14417.707698753593,1
M-2,14,05:11:00,05:11:00,416,0,0,17513.27520711297,1
M-2,384,05:14:00,05:14:00,461,0,0,20427.41745892758,1
M-2,15,05:17:00,05:17:00,527,0,0,22746.792135352425,1
M-2,16,05:20:00,05:20:00,589,0,0,24450.471177908956,1
M-2,17,05:24:00,05:24:00,717,0,0,27516.92405450168,1
M-2,18,05:29:00,05:29:00,839,0,0,31105.882999340243,1
M-2,427,05:32:00,05:32:00,901,0,0,32688.027686811118,1
M-2,13547,05:34:00,05:34:00,946,0,0,33522.374203828556,1
M-2,205,05:38:00,05:38:00,1004,0,0,34563.689635286355,1
M-3,12,05:10:00,05:10:00,1,0,0,0.0,1
M-3,1974,05:13:00,05:13:00,110,0,0,3457.5540318718645,1
M-3,10,05:18:00,05:18:00,178,0,0,7845.510927786642,1
M-3,357,05:20:00,05:20:00,207,0,0,9545.689057419935,1
M-3,362,05:23:00,05:23:00,236,0,0,11216.456656605511,1
M-3,371,05:27:00,05:27:00,304,0,0,14417.707698753593,1
M-3,14,05:31:00,05:31:00,416,0,0,17513.27520711297,1
M-3,384,05:34:00,05:34:00,461,0,0,20427.41745892758,1
M-3,15,05:37:00,05:37:00,527,0,0,22746.792135352425,1
M-3,16,05:40:00,05:40:00,589,0,0,24450.471177908956,1
M-3,17,05:44:00,05:44:00,717,0,0,27516.92405450168,1
M-3,18,05:49:00,05:49:00,839,0,0,31105.882999340243,1
M-3,427,05:52:00,05:52:00,901,0,0,32688.027686811118,1
M-3,13547,05:54:00,05:54:00,946,0,0,33522.374203828556,1
M-3,205,05:58:00,05:58:00,1004,0,0,34563.689635286355,1
M-4,12,05:30:00,05:30:00,1,0,0,0.0,1
M-4,1974,05:33:00,05:33:00,110,0,0,3457.5540318718645,1
M-4,10,05:38:00,05:38:00,178,0,0,7845.510927786642,1
M-4,357,05:40:00,05:40:00,207,0,0,9545.689057419935,1
M-4,362,05:43:00,05:43:00,236,0,0,11216.456656605511,1
M-4,371,05:47:00,05:47:00,304,0,0,14417.707698753593,1
M-4,14,05:51:00,05:51:00,416,0,0,17513.27520711297,1
M-4,384,05:54:00,05:54:00,461,0,0,20427.41745892758,1
M-4,15,05:57:00,05:57:00,527,0,0,22746.792135352425,1
M-4,16,06:00:00,06:00:00,589,0,0,24450.471177908956,1
M-4,17,06:04:00,06:04:00,717,0,0,27516.92405450168,1
M-4,18,06:09:00,06:09:00,839,0,0,31105.882999340243,1
M-4,427,06:12:00,06:12:00,901,0,0,32688.027686811118,1
M-4,13547,06:14:00,06:14:00,946,0,0,33522.374203828556,1
M-4,205,06:18:00,06:18:00,1004,0,0,34563.689635286355,1
M-5,12,05:45:00,05:45:00,1,0,0,0.0,1
M-5,1974,05:48:00,05:48:00,110,0,0,3457.5540318718645,1
M-5,10,05:53:00,05:53:00,178,0,0,7845.510927786642,1
M-5,357,05:55:00,05:55:00,207,0,0,9545.689057419935,1
M-5,362,05:58:00,05:58:00,236,0,0,11216.456656605511,1
M-5,371,06:02:00,06:02:00,304,0,0,14417.707698753593,1
M-5,14,06:06:00,06:06:00,416,0,0,17513.27520711297,1
M-5,384,06:09:00,06:09:00,461,0,0,20427.41745892758,1
M-5,15,06:12:00,06:12:00,527,0,0,22746.792135352425,1
M-5,16,06:15:00,06:15:00,589,0,0,24450.471177908956,1
M-5,17,06:19:00,06:19:00,717,0,0,27516.92405450168,1
M-5,18,06:24:00,06:24:00,839,0,0,31105.882999340243,1
M-5,427,06:27:00,06:27:00,901,0,0,32688.027686811118,1
M-5,13547,06:29:00,06:29:00,946,0,0,33522.374203828556,1
M-5,205,06:33:00,06:33:00,1004,0,0,34563.689635286355,1
M-6,12,06:00:00,06:00:00,1,0,0,0.0,1
M-6,1974,06:03:00,06:03:00,110,0,0,3457.5540318718645,1
M-6,10,06:08:00,06:08:00,178,0,0,7845.510927786642,1
M-6,357,06:10:00,06:10:00,207,0,0,9545.689057419935,1
M-6,362,06:13:00,06:13:00,236,0,0,11216.456656605511,1
