trip_id,stop_id,arrival_time,departure_time,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled,timepoint
O-1,12905,04:20:00,04:20:00,1,0,0,0.0,1
O-1,2715,04:25:00,04:25:00,182,0,0,5457.184256145292,1
O-1,134,04:27:00,04:27:00,244,0,0,7066.980325181717,1
O-1,135,04:32:00,04:32:00,315,0,0,10283.875053157326,1
O-1,136,04:35:00,04:35:00,388,0,0,13277.876969241415,1
O-1,137,04:38:00,04:38:00,479,0,0,16491.183163364,1
O-1,14880,04:44:00,04:44:00,602,0,0,19600.51949825443,1
O-1,1103,04:49:00,04:49:00,671,0,0,22192.2496358076,1
O-1,14896,04:52:00,04:52:00,741,0,0,24926.385917719883,1
O-1,11631,04:56:00,04:56:00,806,0,0,27534.479414150006,1
O-1,142,05:00:00,05:00:00,885,0,0,31274.8959307897,1
O-1,143,05:04:00,05:04:00,981,0,0,34258.93570436484,1
O-2,12905,04:40:00,04:40:00,1,0,0,0.0,1
O-2,2715,04:45:00,04:45:00,182,0,0,5457.184256145292,1
O-2,134,04:47:00,04:47:00,244,0,0,7066.980325181717,1
O-2,135,04:52:00,04:52:00,315,0,0,10283.875053157326,1
O-2,136,04:55:00,04:55:00,388,0,0,13277.876969241415,1
O-2,137,04:58:00,04:58:00,479,0,0,16491.183163364,1
O-2,14880,05:04:00,05:04:00,602,0,0,19600.51949825443,1
O-2,1103,05:09:00,05:09:00,671,0,0,22192.2496358076,1
O-2,14896,05:12:00,05:12:00,741,0,0,24926.385917719883,1
O-2,11631,05:16:00,05:16:00,806,0,0,27534.479414150006,1
O-2,142,05:20:00,05:20:00,885,0,0,31274.8959307897,1
O-2,143,05:24:00,05:24:00,981,0,0,34258.93570436484,1
O-3,12905,05:00:00,05:00:00,1,0,0,0.0,1
O-3,2715,05:05:00,05:05:00,182,0,0,5457.184256145292,1
O-3,134,05:07:00,05:07:00,244,0,0,7066.980325181717,1
O-3,135,05:12:00,05:12:00,315,0,0,10283.875053157326,1
O-3,136,05:15:00,05:15:00,388,0,0,13277.876969241415,1
O-3,137,05:18:00,05:18:00,479,0,0,16491.183163364,1
O-3,14880,05:24:00,05:24:00,602,0,0,19600.51949825443,1
O-3,1103,05:29:00,05:29:00,671,0,0,22192.2496358076,1
O-3,14896,05:32:00,05:32:00,741,0,0,24926.385917719883,1
O-3,11631,05:36:00,05:36:00,806,0,0,27534.479414150006,1
O-3,142,05:40:00,05:40:00,885,0,0,31274.8959307897,1
O-3,143,05:44:00,05:44:00,981,0,0,34258.93570436484,1
O-4,12905,05:20:00,05:20:00,1,0,0,0.0,1
O-4,2715,05:25:00,05:25:00,182,0,0,5457.184256145292,1
O-4,134,05:27:00,05:27:00,244,0,0,7066.980325181717,1
O-4,135,05:32:00,05:32:00,315,0,0,10283.875053157326,1
O-4,136,05:35:00,05:35:00,388,0,0,13277.876969241415,1
O-4,137,05:38:00,05:38:00,479,0,0,16491.183163364,1
O-4,14880,05:44:00,05:44:00,602,0,0,19600.51949825443,1
O-4,1103,05:49:00,05:49:00,671,0,0,22192.2496358076,1
O-4,14896,05:52:00,05:52:00,741,0,0,24926.385917719883,1
O-4,11631,05:56:00,05:56:00,806,0,0,27534.479414150006,1
O-4,142,06:00:00,06:00:00,885,0,0,31274.8959307897,1
O-4,143,06:04:00,06:04:00,981,0,0,34258.93570436484,1
O-5,12905,05:40:00,05:40:00,1,0,0,0.0,1
O-5,2715,05:45:00,05:45:00,182,0,0,5457.184256145292,1
O-5,134,05:47:00,05:47:00,244,0,0,7066.980325181717,1
O-5,135,05:52:00,05:52:00,315,0,0,10283.875053157326,1
O-5,136,05:55:00,05:55:00,388,0,0,13277.876969241415,1
O-5,137,05:58:00,05:58:00,479,0,0,16491.183163364,1
O-5,14880,06:04:00,06:04:00,602,0,0,19600.51949825443,1
O-5,1103,06:09:00,06:09:00,671,0,0,22192.2496358076,1
O-5,14896,06:12:00,06:12:00,741,0,0,24926.385917719883,1
O-5,11631,06:16:00,06:16:00,806,0,0,27534.479414150006,1
O-5,142,06:20:00,06:20:00,885,0,0,31274.8959307897,1
O-5,143,06:24:00,06:24:00,981,0,0,34258.93570436484,1
O-6,12905,06:00:00,06:00:00,1,0,0,0.0,1
O-6,2715,06:05:00,06:05:00,182,0,0,5457.184256145292,1
O-6,134,06:07:00,06:07:00,244,0,0,7066.980325181717,1
O-6,135,06:12:00,06:12:00,315,0,0,10283.875053157326,1
O-6,136,06:15:00,06:15:00,388,0,0,13277.876969241415,1
O-6,137,06:18:00,06:18:00,479,0,0,16491.183163364,1
O-6,14880,06:24:00,06:24:00,602,0,0,19600.51949825443,1
O-6,1103,06:29:00,06:29:00,671,0,0,22192.2496358076,1
O-6,14896,06:32:00,06:32:00,741,0,0,24926.385917719883,1
O-6,11631,06:36:00,06:36:00,806,0,0,27534.479414150006,1
O-6,142,06:40:00,06:40:00,885,0,0,31274.8959307897,1
O-6,143,06:44:00,06:44:00,981,0,0,34258.93570436484,1
O-7,12905,06:15:00,06:15:00,1,0,0,0.0,1
O-7,2715,06:20:00,06:20:00,182,0,0,5457.184256145292,1
O-7,134,06:22:00,06:22:00,244,0,0,7066.980325181717,1
O-7,135,06:27:00,06:27:00,315,0,0,10283.875053157326,1
O-7,136,06:30:00,06:30:00,388,0,0,13277.876969241415,1
O-7,137,06:33:00,06:33:00,479,0,0,16491.183163364,1
O-7,14880,06:39:00,06:39:00,602,0,0,19600.51949825443,1
O-7,1103,06:44:00,06:44:00,671,0,0,22192.2496358076,1
O-7,14896,06:47:00,06:47:00,741,0,0,24926.385917719883,1
O-7,11631,06:51:00,06:51:00,806,0,0,27534.479414150006,1
O-7,142,06:55:00,06:55:00,885,0,0,31274.8959307897,1
O-7,143,06:59:00,06:59:00,981,0,0,34258.93570436484,1
O-8,12905,06:30:00,06:30:00,1,0,0,0.0,1
O-8,2715,06:35:00,06:35:00,182,0,0,5457.184256145292,1
O-8,134,06:37:00,06:37:00,244,0,0,7066.980325181717,1
O-8,135,06:42:00,06:42:00,315,0,0,10283.875053157326,1
O-8,136,06:45:00,06:45:00,388,0,0,13277.876969241415,1
O-8,137,06:48:00,06:48:00,479,0,0,16491.183163364,1
O-8,14880,06:54:00,06:54:00,602,0,0,19600.51949825443,1
O-8,1103,06:59:00,06:59:00,671,0,0,22192.2496358076,1
O-8,14896,07:02:00,07:02:00,741,0,0,24926.385917719883,1
O-8,11631,07:06:00,07:06:00,806,0,0,27534.479414150006,1
O-8,142,07:10:00,07:10:00,885,0,0,31274.8959307897,1
O-8,143,07:14:00,07:14:00,981,0,0,34258.93570436484,1
O-9,12905,06:45:00,06:45:00,1,0,0,0.0,1
O-9,2715,06:50:00,06:50:00,182,0,0,5457.184256145292,1
O-9,134,06:52:00,06:52:00,244,0,0,7066.980325181717,1
O-9,135,06:57:00,06:57:00,315,0,0,10283.875053157326,1
O-9,136,07:00:00,07:00:00,388,0,0,13277.876969241415,1
O-9,137,07:03:00,07:03:00,479,0,0,16491.183163364,1
O-9,14880,07:09:00,07:09:00,602,0,0,19600.51949825443,1
O-9,1103,07:14:00,07:14:00,671,0,0,22192.2496358076,1
O-9,14896,07:17:00,07:17:00,741,0,0,24926.385917719883,1
O-9,11631,07:21:00,07:21:00,806,0,0,27534.479414150006,1
O-9,142,07:25:00,07:25:00,885,0,0,31274.8959307897,1
O-9,143,07:29:00,07:29:00,981,0,0,34258.93570436484,1
O-10,12905,07:00:00,07:00:00,1,0,0,0.0,1
O-10,2715,07:05:00,07:05:00,182,0,0,5457.184256145292,1
O-10,134,07:07:00,07:07:00,244,0,0,7066.980325181717,1
O-10,135,07:12:00,07:12:00,315,0,0,10283.875053157326,1
O-10,136,07:15:00,07:15:00,388,0,0,13277.876969241415,1
O-10,137,07:18:00,07:18:00,479,0,0,16491.183163364,1
O-10,14880,07:24:00,07:24:00,602,0,0,19600.51949825443,1
O-10,1103,07:29:00,07:29:00,671,0,0,22192.2496358076,1
O-10,14896,07:32:00,07:32:00,741,0,0,24926.385917719883,1
O-10,11631,07:36:00,07:36:00,806,0,0,27534.479414150006,1
O-10,142,07:40:00,07:40:00,885,0,0,31274.8959307897,1
O-10,143,07:44:00,07:44:00,981,0,0,34258.93570436484,1
O-11,12905,07:15:00,07:15:00,1,0,0,0.0,1
O-11,2715,07:20:00,07:20:00,182,0,0,5457.184256145292,1
O-11,134,07:22:00,07:22:00,244,0,0,7066.980325181717,1
O-11,135,07:27:00,07:27:00,315,0,0,10283.875053157326,1
O-11,136,07:30:00,07:30:00,388,0,0,13277.876969241415,1
O-11,137,07:33:00,07:33:00,479,0,0,16491.183163364,1
O-11,14880,07:39:00,07:39:00,602,0,0,19600.51949825443,1
O-11,1103,07:44:00,07:44:00,671,0,0,22192.2496358076,1
O-11,14896,07:47:00,07:47:00,741,0,0,24926.385917719883,1
O-11,11631,07:51:00,07:51:00,806,0,0,27534.479414150006,1
O-11,142,07:55:00,07:55:00,885,0,0,31274.8959307897,1
O-11,143,07:59:00,07:59:00,981,0,0,34258.93570436484,1
O-12,12905,07:30:00,07:30:00,1,0,0,0.0,1
O-12,2715,07:35:00,07:35:00,182,0,0,5457.184256145292,1
O-12,134,07:37:00,07:37:00,244,0,0,7066.980325181717,1
O-12,135,07:42:00,07:42:00,315,0,0,10283.875053157326,1
O-12,136,07:45:00,07:45:00,388,0,0,13277.876969241415,1
O-12,137,07:48:00,07:48:00,479,0,0,16491.183163364,1
O-12,14880,07:54:00,07:54:00,602,0,0,19600.51949825443,1
O-12,1103,07:59:00,07:59:00,671,0,0,22192.2496358076,1
O-12,14896,08:02:00,08:02:00,741,0,0,24926.385917719883,1
O-12,11631,08:06:00,08:06:00,806,0,0,27534.479414150006,1
O-12,142,08:10:00,08:10:00,885,0,0,31274.8959307897,1
O-12,143,08:14:00,08:14:00,981,0,0,34258.93570436484,1
O-13,12905,07:45:00,07:45:00,1,0,0,0.0,1
O-13,2715,07:50:00,07:50:00,182,0,0,5457.184256145292,1
O-13,134,07:52:00,07:52:00,244,0,0,7066.980325181717,1
O-13,135,07:57:00,07:57:00,315,0,0,10283.875053157326,1
O-13,136,08:00:00,08:00:00,388,0,0,13277.876969241415,1
O-13,137,08:03:00,08:03:00,479,0,0,16491.183163364,1
O-13,14880,08:09:00,08:09:00,602,0,0,19600.51949825443,1
O-13,1103,08:14:00,08:14:00,671,0,0,22192.2496358076,1
O-13,14896,08:17:00,08:17:00,741,0,0,24926.385917719883,1
O-13,11631,08:21:00,08:21:00,806,0,0,27534.479414150006,1
O-13,142,08:25:00,08:25:00,885,0,0,31274.8959307897,1
O-13,143,08:29:00,08:29:00,981,0,0,34258.93570436484,1
O-14,12905,08:00:00,08:00:00,1,0,0,0.0,1
O-14,2715,08:05:00,08:05:00,182,0,0,5457.184256145292,1
O-14,134,08:07:00,08:07:00,244,0,0,7066.980325181717,1
O-14,135,08:12:00,08:12:00,315,0,0,10283.875053157326,1
O-14,136,08:15:00,08:15:00,388,0,0,13277.876969241415,1
O-14,137,08:18:00,08:18:00,479,0,0,16491.183163364,1
O-14,14880,08:24:00,08:24:00,602,0,0,19600.51949825443,1
O-14,1103,08:29:00,08:29:00,671,0,0,22192.2496358076,1
O-14,14896,08:32:00,08:32:00,741,0,0,24926.385917719883,1
O-14,11631,08:36:00,08:36:00,806,0,0,27534.479414150006,1
O-14,142,08:40:00,08:40:00,885,0,0,31274.8959307897,1
O-14,143,08:44:00,08:44:00,981,0,0,34258.93570436484,1
O-15,12905,08:15:00,08:15:00,1,0,0,0.0,1
O-15,2715,08:20:00,08:20:00,182,0,0,5457.184256145292,1
O-15,134,08:22:00,08:22:00,244,0,0,7066.980325181717,1
O-15,135,08:27:00,08:27:00,315,0,0,10283.875053157326,1
O-15,136,08:30:00,08:30:00,388,0,0,13277.876969241415,1
O-15,137,08:33:00,08:33:00,479,0,0,16491.183163364,1
O-15,14880,08:39:00,08:39:00,602,0,0,19600.51949825443,1
O-15,1103,08:44:00,08:44:00,671,0,0,22192.2496358076,1
O-15,14896,08:47:00,08:47:00,741,0,0,24926.385917719883,1
O-15,11631,08:51:00,08:51:00,806,0,0,27534.479414150006,1
O-15,142,08:55:00,08:55:00,885,0,0,31274.8959307897,1
O-15,143,08:59:00,08:59:00,981,0,0,34258.93570436484,1
O-16,12905,08:30:00,08:30:00,1,0,0,0.0,1
O-16,2715,08:35:00,08:35:00,182,0,0,5457.184256145292,1
O-16,134,08:37:00,08:37:00,244,0,0,7066.980325181717,1
O-16,135,08:42:00,08:42:00,315,0,0,10283.875053157326,1
O-16,136,08:45:00,08:45:00,388,0,0,13277.876969241415,1
O-16,137,08:48:00,08:48:00,479,0,0,16491.183163364,1
O-16,14880,08:54:00,08:54:00,602,0,0,19600.51949825443,1
O-16,1103,08:59:00,08:59:00,671,0,0,22192.2496358076,1
O-16,14896,09:02:00,09:02:00,741,0,0,24926.385917719883,1
O-16,11631,09:06:00,09:06:00,806,0,0,27534.479414150006,1
O-16,142,09:10:00,09:10:00,885,0,0,31274.8959307897,1
O-16,143,09:14:00,09:14:00,981,0,0,34258.93570436484,1
O-17,12905,08:45:00,08:45:00,1,0,0,0.0,1
O-17,2715,08:50:00,08:50:00,182,0,0,5457.184256145292,1
O-17,134,08:52:00,08:52:00,244,0,0,7066.980325181717,1
O-17,135,08:57:00,08:57:00,315,0,0,10283.875053157326,1
O-17,136,09:00:00,09:00:00,388,0,0,13277.876969241415,1
O-17,137,09:03:00,09:03:00,479,0,0,16491.183163364,1
O-17,14880,09:09:00,09:09:00,602,0,0,19600.51949825443,1
O-17,1103,09:14:00,09:14:00,671,0,0,22192.2496358076,1
O-17,14896,09:17:00,09:17:00,741,0,0,24926.385917719883,1
O-17,11631,09:21:00,09:21:00,806,0,0,27534.479414150006,1
O-17,142,09:25:00,09:25:00,885,0,0,31274.8959307897,1
O-17,143,09:29:00,09:29:00,981,0,0,34258.93570436484,1
O-18,12905,09:00:00,09:00:00,1,0,0,0.0,1
O-18,2715,09:05:00,09:05:00,182,0,0,5457.184256145292,1
O-18,134,09:07:00,09:07:00,244,0,0,7066.980325181717,1
O-18,135,09:12:00,09:12:00,315,0,0,10283.875053157326,1
O-18,136,09:15:00,09:15:00,388,0,0,13277.876969241415,1
O-18,137,09:18:00,09:18:00,479,0,0,16491.183163364,1
O-18,14880,09:24:00,09:24:00,602,0,0,19600.51949825443,1
O-18,1103,09:29:00,09:29:00,671,0,0,22192.2496358076,1
O-18,14896,09:32:00,09:32:00,741,0,0,24926.385917719883,1
O-18,11631,09:36:00,09:36:00,806,0,0,27534.479414150006,1
O-18,142,09:40:00,09:40:00,885,0,0,31274.8959307897,1
O-18,143,09:44:00,09:44:00,981,0,0,34258.93570436484,1
O-19,12905,09:15:00,09:15:00,1,0,0,0.0,1
O-19,2715,09:20:00,09:20:00,182,0,0,5457.184256145292,1
O-19,134,09:22:00,09:22:00,244,0,0,7066.980325181717,1
O-19,135,09:27:00,09:27:00,315,0,0,10283.875053157326,1
O-19,136,09:30:00,09:30:00,388,0,0,13277.876969241415,1
O-19,137,09:33:00,09:33:00,479,0,0,16491.183163364,1
O-19,14880,09:39:00,09:39:00,602,0,0,19600.51949825443,1
O-19,1103,09:44:00,09:44:00,671,0,0,22192.2496358076,1
O-19,14896,09:47:00,09:47:00,741,0,0,24926.385917719883,1
O-19,11631,09:51:00,09:51:00,806,0,0,27534.479414150006,1
O-19,142,09:55:00,09:55:00,885,0,0,31274.8959307897,1
O-19,143,09:59:00,09:59:00,981,0,0,34258.93570436484,1
O-20,12905,09:30:00,09:30:00,1,0,0,0.0,1
O-20,2715,09:35:00,09:35:00,182,0,0,5457.184256145292,1
O-20,134,09:37:00,09:37:00,244,0,0,7066.980325181717,1
O-20,135,09:42:00,09:42:00,315,0,0,10283.875053157326,1
O-20,136,09:45:00,09:45:00,388,0,0,13277.876969241415,1
O-20,137,09:48:00,09:48:00,479,0,0,16491.183163364,1
O-20,14880,09:54:00,09:54:00,602,0,0,19600.51949825443,1
O-20,1103,09:59:00,09:59:00,671,0,0,22192.2496358076,1
O-20,14896,10:02:00,10:02:00,741,0,0,24926.385917719883,1
O-20,11631,10:06:00,10:06:00,806,0,0,27534.479414150006,1
O-20,142,10:10:00,10:10:00,885,0,0,31274.8959307897,1
O-20,143,10:14:00,10:14:00,981,0,0,34258.93570436484,1
O-21,12905,09:45:00,09:45:00,1,0,0,0.0,1
O-21,2715,09:50:00,09:50:00,182,0,0,5457.184256145292,1
O-21,134,09:52:00,09:52:00,244,0,0,7066.980325181717,1
