trip_id,stop_id,arrival_time,departure_time,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled,timepoint
R-1,622,04:05:00,04:05:00,1,0,0,0.0,1
R-1,625,04:09:00,04:09:00,68,0,0,2434.375936707274,1
R-1,34,04:11:00,04:11:00,110,0,0,4708.753411605881,1
R-1,35,04:14:00,04:14:00,218,0,0,8179.195525119348,1
R-1,36,04:19:00,04:19:00,423,0,0,13191.885291657594,1
R-1,37,04:23:00,04:23:00,543,0,0,16224.93211183908,1
R-1,667,04:26:00,04:26:00,602,0,0,18699.429436964096,1
R-1,14148,04:30:00,04:30:00,692,0,0,22192.22886318458,1
R-1,683,04:32:00,04:32:00,717,0,0,23197.97872019093,1
R-1,688,04:35:00,04:35:00,770,0,0,25593.86176485795,1
R-1,39,04:39:00,04:39:00,850,0,0,28696.85812736936,1
R-1,40,04:42:00,04:42:00,918,0,0,30575.514222174395,1
R-1,709,04:45:00,04:45:00,980,0,0,32439.161395030435,1
R-1,721,04:50:00,04:50:00,1102,0,0,36170.04948432435,1
R-1,42,04:54:00,04:54:00,1207,0,0,38898.761123093995,1
R-1,14724,04:57:00,04:57:00,1279,0,0,40982.64263125016,1
R-1,740,05:00:00,05:00:00,1352,0,0,42924.52855901606,1
R-1,3191,05:02:00,05:02:00,1392,0,0,43965.914333820976,1
R-1,13547,05:05:00,05:05:00,1441,0,0,44853.45314784308,1
R-1,768,05:08:00,05:08:00,1487,0,0,45608.88193277188,1
R-2,622,04:20:00,04:20:00,1,0,0,0.0,1
R-2,625,04:24:00,04:24:00,68,0,0,2434.375936707274,1
R-2,34,04:26:00,04:26:00,110,0,0,4708.753411605881,1
R-2,35,04:29:00,04:29:00,218,0,0,8179.195525119348,1
R-2,36,04:34:00,04:34:00,423,0,0,13191.885291657594,1
R-2,37,04:38:00,04:38:00,543,0,0,16224.93211183908,1
R-2,667,04:41:00,04:41:00,602,0,0,18699.429436964096,1
R-2,14148,04:45:00,04:45:00,692,0,0,22192.22886318458,1
R-2,683,04:47:00,04:47:00,717,0,0,23197.97872019093,1
R-2,688,04:50:00,04:50:00,770,0,0,25593.86176485795,1
R-2,39,04:54:00,04:54:00,850,0,0,28696.85812736936,1
R-2,40,04:57:00,04:57:00,918,0,0,30575.514222174395,1
R-2,709,05:00:00,05:00:00,980,0,0,32439.161395030435,1
R-2,721,05:05:00,05:05:00,1102,0,0,36170.04948432435,1
R-2,42,05:09:00,05:09:00,1207,0,0,38898.761123093995,1
R-2,14724,05:12:00,05:12:00,1279,0,0,40982.64263125016,1
R-2,740,05:15:00,05:15:00,1352,0,0,42924.52855901606,1
R-2,3191,05:17:00,05:17:00,1392,0,0,43965.914333820976,1
R-2,13547,05:20:00,05:20:00,1441,0,0,44853.45314784308,1
R-2,768,05:23:00,05:23:00,1487,0,0,45608.88193277188,1
R-3,622,04:35:00,04:35:00,1,0,0,0.0,1
R-3,625,04:39:00,04:39:00,68,0,0,2434.375936707274,1
R-3,34,04:41:00,04:41:00,110,0,0,4708.753411605881,1
R-3,35,04:44:00,04:44:00,218,0,0,8179.195525119348,1
R-3,36,04:49:00,04:49:00,423,0,0,13191.885291657594,1
R-3,37,04:53:00,04:53:00,543,0,0,16224.93211183908,1
R-3,667,04:56:00,04:56:00,602,0,0,18699.429436964096,1
R-3,14148,05:00:00,05:00:00,692,0,0,22192.22886318458,1
R-3,683,05:02:00,05:02:00,717,0,0,23197.97872019093,1
R-3,688,05:05:00,05:05:00,770,0,0,25593.86176485795,1
R-3,39,05:09:00,05:09:00,850,0,0,28696.85812736936,1
