trip_id,stop_id,arrival_time,departure_time,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled,timepoint
T-1,12,04:30:00,04:30:00,1,0,0,0.0,1
T-1,117,04:40:00,04:40:00,212,0,0,11036.95428703428,1
T-1,118,04:45:00,04:45:00,333,0,0,15844.81897137554,1
T-1,8325,04:48:00,04:48:00,400,0,0,19057.43734626882,1
T-1,8334,04:52:00,04:52:00,499,0,0,23802.56381545726,1
T-1,8343,04:56:00,04:56:00,594,0,0,27190.40617983842,1
T-1,8351,04:59:00,04:59:00,661,0,0,30242.278653602407,1
T-1,8356,05:01:00,05:01:00,689,0,0,31839.695236571068,1
T-1,4415,05:04:00,05:04:00,751,0,0,34369.57554605354,1
T-1,8364,05:07:00,05:07:00,802,0,0,36731.49928370147,1
T-1,8371,05:10:00,05:10:00,865,0,0,39988.72213589594,1
T-1,8372,05:12:00,05:12:00,878,0,0,41103.318018064754,1
T-1,14005,05:13:00,05:13:00,888,0,0,41611.69223129146,1
T-1,14009,05:15:00,05:15:00,915,0,0,43134.7568347181,1
T-1,8383,05:17:00,05:17:00,955,0,0,44789.96542986064,1
T-1,8386,05:19:00,05:19:00,994,0,0,46444.15249702738,1
T-1,8392,05:22:00,05:22:00,1078,0,0,49741.65495597121,1
T-1,8403,05:26:00,05:26:00,1206,0,0,54599.53900491669,1
T-1,8409,05:30:00,05:30:00,1305,0,0,58758.969331253844,1
T-1,12388,05:33:00,05:33:00,1391,0,0,62129.10394752827,1
T-1,129,05:37:00,05:37:00,1501,0,0,66466.03900201496,1
T-1,61,05:42:00,05:42:00,1601,0,0,69633.43356081257,1
T-2,12,05:15:00,05:15:00,1,0,0,0.0,1
T-2,117,05:25:00,05:25:00,212,0,0,11036.95428703428,1
T-2,118,05:30:00,05:30:00,333,0,0,15844.81897137554,1
T-2,8325,05:33:00,05:33:00,400,0,0,19057.43734626882,1
T-2,8334,05:37:00,05:37:00,499,0,0,23802.56381545726,1
T-2,8343,05:41:00,05:41:00,594,0,0,27190.40617983842,1
T-2,8351,05:44:00,05:44:00,661,0,0,30242.278653602407,1
T-2,8356,05:46:00,05:46:00,689,0,0,31839.695236571068,1
T-2,4415,05:49:00,05:49:00,751,0,0,34369.57554605354,1
T-2,8364,05:52:00,05:52:00,802,0,0,36731.49928370147,1
T-2,8371,05:55:00,05:55:00,865,0,0,39988.72213589594,1
T-2,8372,05:57:00,05:57:00,878,0,0,41103.318018064754,1
T-2,14005,05:58:00,05:58:00,888,0,0,41611.69223129146,1
T-2,14009,06:00:00,06:00:00,915,0,0,43134.7568347181,1
T-2,8383,06:02:00,06:02:00,955,0,0,44789.96542986064,1
T-2,8386,06:04:00,06:04:00,994,0,0,46444.15249702738,1
T-2,8392,06:07:00,06:07:00,1078,0,0,49741.65495597121,1
T-2,8403,06:11:00,06:11:00,1206,0,0,54599.53900491669,1
T-2,8409,06:15:00,06:15:00,1305,0,0,58758.969331253844,1
T-2,12388,06:18:00,06:18:00,1391,0,0,62129.10394752827,1
T-2,129,06:22:00,06:22:00,1501,0,0,66466.03900201496,1
T-2,61,06:27:00,06:27:00,1601,0,0,69633.43356081257,1
T-3,12,05:48:00,05:48:00,1,0,0,0.0,1
T-3,117,05:58:00,05:58:00,212,0,0,11036.95428703428,1
T-3,118,06:03:00,06:03:00,333,0,0,15844.81897137554,1
T-3,8325,06:06:00,06:06:00,400,0,0,19057.43734626882,1
T-3,8334,06:10:00,06:10:00,499,0,0,23802.56381545726,1
T-3,8343,06:14:00,06:14:00,594,0,0,27190.40617983842,1
T-3,8351,06:17:00,06:17:00,661,0,0,30242.278653602407,1
T-3,8356,06:19:00,06:19:00,689,0,0,31839.695236571068,1
T-3,4415,06:22:00,06:22:00,751,0,0,34369.57554605354,1
T-3,8364,06:25:00,06:25:00,802,0,0,36731.49928370147,1
T-3,8371,06:28:00,06:28:00,865,0,0,39988.72213589594,1
T-3,8372,06:30:00,06:30:00,878,0,0,41103.318018064754,1
T-3,14005,06:31:00,06:31:00,888,0,0,41611.69223129146,1
T-3,14009,06:33:00,06:33:00,915,0,0,43134.7568347181,1
T-3,8383,06:35:00,06:35:00,955,0,0,44789.96542986064,1
T-3,8386,06:37:00,06:37:00,994,0,0,46444.15249702738,1
T-3,8392,06:40:00,06:40:00,1078,0,0,49741.65495597121,1
T-3,8403,06:44:00,06:44:00,1206,0,0,54599.53900491669,1
T-3,8409,06:48:00,06:48:00,1305,0,0,58758.969331253844,1
T-3,12388,06:51:00,06:51:00,1391,0,0,62129.10394752827,1
T-3,129,06:55:00,06:55:00,1501,0,0,66466.03900201496,1
T-3,61,07:00:00,07:00:00,1601,0,0,69633.43356081257,1
T-4,12,06:12:00,06:12:00,1,0,0,0.0,1
T-4,117,06:22:00,06:22:00,212,0,0,11036.95428703428,1
T-4,118,06:27:00,06:27:00,333,0,0,15844.81897137554,1
