trip_id,stop_id,arrival_time,departure_time,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled,timepoint
W-1,488,05:03:00,05:03:00,1,0,0,0.0,1
W-1,13548,05:06:00,05:06:00,69,0,0,848.0659517477818,1
W-1,764,05:09:00,05:09:00,103,0,0,1660.1637792094766,1
W-1,769,05:11:00,05:11:00,134,0,0,2368.505993336615,1
W-1,46,05:13:00,05:13:00,165,0,0,3098.4487360158546,1
W-1,47,05:15:00,05:15:00,220,0,0,4287.685712719825,1
W-1,782,05:17:00,05:17:00,269,0,0,5645.852379986314,1
W-1,49,05:21:00,05:21:00,353,0,0,7916.977935308202,1
W-1,50,05:25:00,05:25:00,430,0,0,10490.595445140814,1
W-1,809,05:29:00,05:29:00,524,0,0,13610.76483276612,1
W-1,816,05:32:00,05:32:00,564,0,0,15429.631057497036,1
W-1,822,05:35:00,05:35:00,613,0,0,17150.44285340862,1
W-1,13867,05:38:00,05:38:00,670,0,0,18992.59417014704,1
W-1,835,05:40:00,05:40:00,723,0,0,20941.384077190778,1
W-1,847,05:44:00,05:44:00,829,0,0,24669.09924679567,1
W-1,56,05:50:00,05:50:00,935,0,0,28890.490655774447,1
W-1,873,05:55:00,05:55:00,1050,0,0,33847.0773439463,1
W-1,879,05:58:00,05:58:00,1118,0,0,36562.75836954432,1
W-1,885,06:01:00,06:01:00,1168,0,0,38680.60085469824,1
W-1,60,06:06:00,06:06:00,1235,0,0,41604.79067918747,1
W-1,61,06:09:00,06:09:00,1264,0,0,42669.37191627999,1
W-2,488,05:33:00,05:33:00,1,0,0,0.0,1
W-2,13548,05:36:00,05:36:00,69,0,0,848.0659517477818,1
W-2,764,05:39:00,05:39:00,103,0,0,1660.1637792094766,1
W-2,769,05:41:00,05:41:00,134,0,0,2368.505993336615,1
W-2,46,05:43:00,05:43:00,165,0,0,3098.4487360158546,1
W-2,47,05:45:00,05:45:00,220,0,0,4287.685712719825,1
W-2,782,05:47:00,05:47:00,269,0,0,5645.852379986314,1
W-2,49,05:51:00,05:51:00,353,0,0,7916.977935308202,1
W-2,50,05:55:00,05:55:00,430,0,0,10490.595445140814,1
W-2,809,05:59:00,05:59:00,524,0,0,13610.76483276612,1
W-2,816,06:02:00,06:02:00,564,0,0,15429.631057497036,1
W-2,822,06:05:00,06:05:00,613,0,0,17150.44285340862,1
W-2,13867,06:08:00,06:08:00,670,0,0,18992.59417014704,1
W-2,835,06:10:00,06:10:00,723,0,0,20941.384077190778,1
W-2,847,06:14:00,06:14:00,829,0,0,24669.09924679567,1
W-2,56,06:20:00,06:20:00,935,0,0,28890.490655774447,1
W-2,873,06:25:00,06:25:00,1050,0,0,33847.0773439463,1
W-2,879,06:28:00,06:28:00,1118,0,0,36562.75836954432,1
W-2,885,06:31:00,06:31:00,1168,0,0,38680.60085469824,1
W-2,60,06:36:00,06:36:00,1235,0,0,41604.79067918747,1
W-2,61,06:39:00,06:39:00,1264,0,0,42669.37191627999,1
W-3,488,06:03:00,06:03:00,1,0,0,0.0,1
W-3,13548,06:06:00,06:06:00,69,0,0,848.0659517477818,1
W-3,764,06:09:00,06:09:00,103,0,0,1660.1637792094766,1
W-3,769,06:11:00,06:11:00,134,0,0,2368.505993336615,1
W-3,46,06:13:00,06:13:00,165,0,0,3098.4487360158546,1
W-3,47,06:15:00,06:15:00,220,0,0,4287.685712719825,1
W-3,782,06:17:00,06:17:00,269,0,0,5645.852379986314,1
W-3,49,06:21:00,06:21:00,353,0,0,7916.977935308202,1
W-3,50,06:25:00,06:25:00,430,0,0,10490.595445140814,1
W-3,809,06:29:00,06:29:00,524,0,0,13610.76483276612,1
W-3,816,06:32:00,06:32:00,564,0,0,15429.631057497036,1
W-3,822,06:35:00,06:35:00,613,0,0,17150.44285340862,1
W-3,13867,06:38:00,06:38:00,670,0,0,18992.59417014704,1
W-3,835,06:40:00,06:40:00,723,0,0,20941.384077190778,1
W-3,847,06:44:00,06:44:00,829,0,0,24669.09924679567,1
W-3,56,06:50:00,06:50:00,935,0,0,28890.490655774447,1
W-3,873,06:55:00,06:55:00,1050,0,0,33847.0773439463,1
W-3,879,06:58:00,06:58:00,1118,0,0,36562.75836954432,1
W-3,885,07:01:00,07:01:00,1168,0,0,38680.60085469824,1
W-3,60,07:06:00,07:06:00,1235,0,0,41604.79067918747,1
W-3,61,07:09:00,07:09:00,1264,0,0,42669.37191627999,1
W-4,488,06:23:00,06:23:00,1,0,0,0.0,1
W-4,13548,06:26:00,06:26:00,69,0,0,848.0659517477818,1
W-4,764,06:29:00,06:29:00,103,0,0,1660.1637792094766,1
W-4,769,06:31:00,06:31:00,134,0,0,2368.505993336615,1
W-4,46,06:33:00,06:33:00,165,0,0,3098.4487360158546,1
W-4,47,06:35:00,06:35:00,220,0,0,4287.685712719825,1
W-4,782,06:37:00,06:37:00,269,0,0,5645.852379986314,1
W-4,49,06:41:00,06:41:00,353,0,0,7916.977935308202,1
W-4,50,06:45:00,06:45:00,430,0,0,10490.595445140814,1
W-4,809,06:49:00,06:49:00,524,0,0,13610.76483276612,1
W-4,816,06:52:00,06:52:00,564,0,0,15429.631057497036,1
W-4,822,06:55:00,06:55:00,613,0,0,17150.44285340862,1
W-4,13867,06:58:00,06:58:00,670,0,0,18992.59417014704,1
W-4,835,07:00:00,07:00:00,723,0,0,20941.384077190778,1
W-4,847,07:04:00,07:04:00,829,0,0,24669.09924679567,1
W-4,56,07:10:00,07:10:00,935,0,0,28890.490655774447,1
W-4,873,07:15:00,07:15:00,1050,0,0,33847.0773439463,1
W-4,879,07:18:00,07:18:00,1118,0,0,36562.75836954432,1
W-4,885,07:21:00,07:21:00,1168,0,0,38680.60085469824,1
W-4,60,07:26:00,07:26:00,1235,0,0,41604.79067918747,1
W-4,61,07:29:00,07:29:00,1264,0,0,42669.37191627999,1
W-5,488,06:43:00,06:43:00,1,0,0,0.0,1
W-5,13548,06:46:00,06:46:00,69,0,0,848.0659517477818,1
W-5,764,06:49:00,06:49:00,103,0,0,1660.1637792094766,1
W-5,769,06:51:00,06:51:00,134,0,0,2368.505993336615,1
W-5,46,06:53:00,06:53:00,165,0,0,3098.4487360158546,1
W-5,47,06:55:00,06:55:00,220,0,0,4287.685712719825,1
W-5,782,06:57:00,06:57:00,269,0,0,5645.852379986314,1
W-5,49,07:01:00,07:01:00,353,0,0,7916.977935308202,1
W-5,50,07:05:00,07:05:00,430,0,0,10490.595445140814,1
W-5,809,07:09:00,07:09:00,524,0,0,13610.76483276612,1
W-5,816,07:12:00,07:12:00,564,0,0,15429.631057497036,1
W-5,822,07:15:00,07:15:00,613,0,0,17150.44285340862,1
W-5,13867,07:18:00,07:18:00,670,0,0,18992.59417014704,1
W-5,835,07:20:00,07:20:00,723,0,0,20941.384077190778,1
W-5,847,07:24:00,07:24:00,829,0,0,24669.09924679567,1
W-5,56,07:30:00,07:30:00,935,0,0,28890.490655774447,1
W-5,873,07:35:00,07:35:00,1050,0,0,33847.0773439463,1
W-5,879,07:38:00,07:38:00,1118,0,0,36562.75836954432,1
W-5,885,07:41:00,07:41:00,1168,0,0,38680.60085469824,1
W-5,60,07:46:00,07:46:00,1235,0,0,41604.79067918747,1
W-5,61,07:49:00,07:49:00,1264,0,0,42669.37191627999,1
W-6,488,07:03:00,07:03:00,1,0,0,0.0,1
W-6,13548,07:06:00,07:06:00,69,0,0,848.0659517477818,1
W-6,764,07:09:00,07:09:00,103,0,0,1660.1637792094766,1
W-6,769,07:11:00,07:11:00,134,0,0,2368.505993336615,1
W-6,46,07:13:00,07:13:00,165,0,0,3098.4487360158546,1
W-6,47,07:15:00,07:15:00,220,0,0,4287.685712719825,1
W-6,782,07:17:00,07:17:00,269,0,0,5645.852379986314,1
W-6,49,07:21:00,07:21:00,353,0,0,7916.977935308202,1
W-6,50,07:25:00,07:25:00,430,0,0,10490.595445140814,1
W-6,809,07:29:00,07:29:00,524,0,0,13610.76483276612,1
W-6,816,07:32:00,07:32:00,564,0,0,15429.631057497036,1
W-6,822,07:35:00,07:35:00,613,0,0,17150.44285340862,1
W-6,13867,07:38:00,07:38:00,670,0,0,18992.59417014704,1
W-6,835,07:40:00,07:40:00,723,0,0,20941.384077190778,1
