trip_id,stop_id,arrival_time,departure_time,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled,timepoint
Y-1,94,05:14:00,05:14:00,1,0,0,0.0,1
Y-1,95,05:19:00,05:19:00,48,0,0,1164.7779646035035,1
Y-1,96,05:23:00,05:23:00,125,0,0,3993.300128924734,1
Y-1,97,05:25:00,05:25:00,166,0,0,5421.7344100187665,1
Y-1,98,05:29:00,05:29:00,250,0,0,8372.139735050641,1
Y-1,99,05:32:00,05:32:00,324,0,0,11312.259207485713,1
Y-1,100,05:35:00,05:35:00,370,0,0,12464.511512150251,1
Y-1,101,05:40:00,05:40:00,476,0,0,16414.702319310247,1
Y-1,102,05:42:00,05:42:00,499,0,0,18264.67326398081,1
Y-1,103,05:45:00,05:45:00,555,0,0,20942.53859427571,1
Y-1,325,05:48:00,05:48:00,638,0,0,24195.036685361534,1
Y-1,335,05:51:00,05:51:00,713,0,0,27629.135778097618,1
Y-1,340,05:55:00,05:55:00,786,0,0,30982.92619985164,1
Y-1,107,05:57:00,05:57:00,848,0,0,32801.22103582568,1
Y-1,108,06:01:00,06:01:00,923,0,0,35887.33056306481,1
Y-1,1972,06:06:00,06:06:00,995,0,0,40323.73909556841,1
Y-1,12,06:10:00,06:10:00,1070,0,0,43116.10479033206,1
Y-2,94,05:34:00,05:34:00,1,0,0,0.0,1
Y-2,95,05:39:00,05:39:00,48,0,0,1164.7779646035035,1
Y-2,96,05:43:00,05:43:00,125,0,0,3993.300128924734,1
Y-2,97,05:45:00,05:45:00,166,0,0,5421.7344100187665,1
Y-2,98,05:49:00,05:49:00,250,0,0,8372.139735050641,1
Y-2,99,05:52:00,05:52:00,324,0,0,11312.259207485713,1
Y-2,100,05:55:00,05:55:00,370,0,0,12464.511512150251,1
Y-2,101,06:00:00,06:00:00,476,0,0,16414.702319310247,1
Y-2,102,06:02:00,06:02:00,499,0,0,18264.67326398081,1
Y-2,103,06:05:00,06:05:00,555,0,0,20942.53859427571,1
Y-2,325,06:08:00,06:08:00,638,0,0,24195.036685361534,1
Y-2,335,06:11:00,06:11:00,713,0,0,27629.135778097618,1
Y-2,340,06:15:00,06:15:00,786,0,0,30982.92619985164,1
Y-2,107,06:17:00,06:17:00,848,0,0,32801.22103582568,1
Y-2,108,06:21:00,06:21:00,923,0,0,35887.33056306481,1
Y-2,1972,06:26:00,06:26:00,995,0,0,40323.73909556841,1
Y-2,12,06:30:00,06:30:00,1070,0,0,43116.10479033206,1
Y-3,94,05:54:00,05:54:00,1,0,0,0.0,1
Y-3,95,05:59:00,05:59:00,48,0,0,1164.7779646035035,1
Y-3,96,06:03:00,06:03:00,125,0,0,3993.300128924734,1
Y-3,97,06:05:00,06:05:00,166,0,0,5421.7344100187665,1
Y-3,98,06:09:00,06:09:00,250,0,0,8372.139735050641,1
Y-3,99,06:12:00,06:12:00,324,0,0,11312.259207485713,1
Y-3,100,06:15:00,06:15:00,370,0,0,12464.511512150251,1
Y-3,101,06:20:00,06:20:00,476,0,0,16414.702319310247,1
Y-3,102,06:22:00,06:22:00,499,0,0,18264.67326398081,1
Y-3,103,06:25:00,06:25:00,555,0,0,20942.53859427571,1
Y-3,325,06:28:00,06:28:00,638,0,0,24195.036685361534,1
Y-3,335,06:31:00,06:31:00,713,0,0,27629.135778097618,1
Y-3,340,06:35:00,06:35:00,786,0,0,30982.92619985164,1
Y-3,107,06:37:00,06:37:00,848,0,0,32801.22103582568,1
Y-3,108,06:41:00,06:41:00,923,0,0,35887.33056306481,1
Y-3,1972,06:46:00,06:46:00,995,0,0,40323.73909556841,1
Y-3,12,06:50:00,06:50:00,1070,0,0,43116.10479033206,1
Y-4,94,06:14:00,06:14:00,1,0,0,0.0,1
Y-4,95,06:19:00,06:19:00,48,0,0,1164.7779646035035,1
Y-4,96,06:23:00,06:23:00,125,0,0,3993.300128924734,1
Y-4,97,06:25:00,06:25:00,166,0,0,5421.7344100187665,1
Y-4,98,06:29:00,06:29:00,250,0,0,8372.139735050641,1
Y-4,99,06:32:00,06:32:00,324,0,0,11312.259207485713,1
Y-4,100,06:35:00,06:35:00,370,0,0,12464.511512150251,1
Y-4,101,06:40:00,06:40:00,476,0,0,16414.702319310247,1
