route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,trip_short_name
006,saturday,006-1,Grosse Pointe Nexus,1,0066,
006,saturday,006-2,Grosse Pointe Nexus,1,0066,
006,saturday,006-3,Grosse Pointe Nexus,1,0066,
006,saturday,006-4,Grosse Pointe Nexus,1,0066,
006,saturday,006-5,Grosse Pointe Nexus,1,0066,
006,saturday,006-6,Grosse Pointe Nexus,1,0066,
006,saturday,006-7,Grosse Pointe Nexus,1,0066,
006,saturday,006-8,Grosse Pointe Nexus,1,0066,
006,saturday,006-9,Grosse Pointe Nexus,1,0066,
006,saturday,006-10,Grosse Pointe Nexus,1,0066,
006,saturday,006-11,Grosse Pointe Nexus,1,0066,
006,saturday,006-12,Grosse Pointe Nexus,1,0066,
006,saturday,006-13,Grosse Pointe Nexus,1,0066,
006,saturday,006-14,Grosse Pointe Nexus,1,0066,
006,saturday,006-15,Grosse Pointe Nexus,1,0066,
006,saturday,006-16,Grosse Pointe Nexus,1,0066,
006,saturday,006-17,Grosse Pointe Nexus,1,0066,
006,saturday,006-18,Grosse Pointe Nexus,1,0066,
006,saturday,006-19,Grosse Pointe Nexus,1,0066,
006,saturday,006-20,Grosse Pointe Nexus,1,0066,
006,saturday,006-21,Grosse Pointe Nexus,1,0066,
006,saturday,006-22,Grosse Pointe Nexus,1,0066,
006,saturday,006-23,Grosse Pointe Nexus,1,0066,
006,saturday,006-24,Grosse Pointe Nexus,1,0066,
006,saturday,006-25,Grosse Pointe Nexus,1,0066,
006,saturday,006-26,Grosse Pointe Nexus,1,0066,
006,saturday,006-27,Grosse Pointe Nexus,1,0066,
006,saturday,006-28,Schoolcraft College,0,0064,
006,saturday,006-29,Schoolcraft College,0,0064,
006,saturday,006-30,Schoolcraft College,0,0064,
006,saturday,006-31,Schoolcraft College,0,0064,
006,saturday,006-32,Schoolcraft College,0,0064,
006,saturday,006-33,Schoolcraft College,0,0064,
006,saturday,006-34,Schoolcraft College,0,0064,
006,saturday,006-35,Schoolcraft College,0,0064,
006,saturday,006-36,Schoolcraft College,0,0064,
006,saturday,006-37,Schoolcraft College,0,0064,
006,saturday,006-38,Schoolcraft College,0,0064,
006,saturday,006-39,Schoolcraft College,0,0064,
006,saturday,006-40,Schoolcraft College,0,0064,
006,saturday,006-41,Schoolcraft College,0,0064,
006,saturday,006-42,Schoolcraft College,0,0064,
006,saturday,006-43,Schoolcraft College,0,0064,
006,saturday,006-44,Schoolcraft College,0,0064,
006,saturday,006-45,Schoolcraft College,0,0064,
006,saturday,006-46,Schoolcraft College,0,0064,
006,saturday,006-47,Schoolcraft College,0,0064,
006,saturday,006-48,Schoolcraft College,0,0064,
006,saturday,006-49,Schoolcraft College,0,0064,
006,saturday,006-50,Schoolcraft College,0,0064,
006,saturday,006-51,Schoolcraft College,0,0064,
006,saturday,006-52,Schoolcraft College,0,0064,
006,saturday,006-53,Schoolcraft College,0,0064,
006,saturday,006-54,Schoolcraft College,0,0064,
006,saturday,006-55,Schoolcraft College,0,0064,
006,weekday,006-56,Grosse Pointe Nexus,1,0066,
006,weekday,006-57,Grosse Pointe Nexus,1,0066,
006,weekday,006-58,Grosse Pointe Nexus,1,0066,
006,weekday,006-59,Grosse Pointe Nexus,1,0066,
006,weekday,006-60,Grosse Pointe Nexus,1,0066,
006,weekday,006-61,Grosse Pointe Nexus,1,0066,
006,weekday,006-62,Grosse Pointe Nexus,1,0066,
006,weekday,006-63,Grosse Pointe Nexus,1,0066,
006,weekday,006-64,Grosse Pointe Nexus,1,0066,
006,weekday,006-65,Grosse Pointe Nexus,1,0066,
006,weekday,006-66,Grosse Pointe Nexus,1,0066,
006,weekday,006-67,Grosse Pointe Nexus,1,0066,
006,weekday,006-68,Grosse Pointe Nexus,1,0066,
006,weekday,006-69,Grosse Pointe Nexus,1,0066,
006,weekday,006-70,Grosse Pointe Nexus,1,0066,
006,weekday,006-71,Grosse Pointe Nexus,1,0066,
006,weekday,006-72,Grosse Pointe Nexus,1,0066,
006,weekday,006-73,Grosse Pointe Nexus,1,0066,
006,weekday,006-74,Grosse Pointe Nexus,1,0066,
006,weekday,006-75,Grosse Pointe Nexus,1,0066,
006,weekday,006-76,Grosse Pointe Nexus,1,0066,
006,weekday,006-77,Grosse Pointe Nexus,1,0066,
006,weekday,006-78,Grosse Pointe Nexus,1,0066,
