route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
400L,NormalMonFri,400L-1,Henry Ford West Bloomfield,1,400L_N
400L,NormalMonFri,400L-2,Henry Ford West Bloomfield,1,400L_N
400L,NormalMonFri,400L-3,Henry Ford West Bloomfield,1,400L_N
400L,NormalMonFri,400L-4,Henry Ford West Bloomfield,1,400L_N
400L,NormalMonFri,400L-5,Henry Ford West Bloomfield,1,400L_N
400L,NormalMonFri,400L-6,Henry Ford West Bloomfield,1,400L_N
400L,NormalMonFri,400L-7,Henry Ford West Bloomfield,1,400L_N
400L,NormalMonFri,400L-8,Henry Ford West Bloomfield,1,400L_N
400L,NormalMonFri,400L-9,Henry Ford West Bloomfield,1,400L_N
400L,NormalMonFri,400L-10,Henry Ford West Bloomfield,1,400L_N
400L,NormalMonFri,400L-11,Henry Ford West Bloomfield,1,400L_N
400L,NormalMonFri,400L-12,Henry Ford West Bloomfield,1,400L_N
400L,NormalMonFri,400L-13,Henry Ford West Bloomfield,1,400L_N
400L,NormalMonFri,400L-14,Henry Ford West Bloomfield,1,400L_N
400L,NormalMonFri,400L-15,Henry Ford West Bloomfield,1,400L_N
400L,NormalMonFri,400L-16,Henry Ford West Bloomfield,1,400L_N
400L,NormalMonFri,400L-17,Henry Ford West Bloomfield,1,400L_N
400L,NormalMonFri,400L-18,Henry Ford West Bloomfield,1,400L_N
400L,NormalMonFri,400L-19,Henry Ford West Bloomfield,1,400L_N
400L,NormalMonFri,400L-20,Henry Ford West Bloomfield,1,400L_N
400L,NormalMonFri,400L-21,Henry Ford West Bloomfield,1,400L_N
400L,NormalMonFri,400L-22,Henry Ford West Bloomfield,1,400L_N
400L,NormalMonFri,400L-23,Henry Ford West Bloomfield,1,400L_N
400L,NormalMonFri,400L-24,Henry Ford West Bloomfield,1,400L_N
400L,NormalMonFri,400L-25,Henry Ford West Bloomfield,1,400L_N
400L,NormalMonFri,400L-26,Henry Ford West Bloomfield,1,400L_N
400L,NormalMonFri,400L-27,Henry Ford West Bloomfield,1,400L_N
400L,NormalMonFri,400L-28,Henry Ford West Bloomfield,1,400L_N
400L,NormalMonFri,400L-29,Henry Ford West Bloomfield,1,400L_N
400L,NormalMonFri,400L-30,Henry Ford West Bloomfield,1,400L_N
400L,NormalMonFri,400L-31,Henry Ford West Bloomfield,1,400L_N
400L,NormalMonFri,400L-32,Henry Ford West Bloomfield,1,400L_N
