route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
505X,NormalMonFri,505X-1,Jefferson / Brush,1,505X_S
505X,NormalMonFri,505X-2,Jefferson / Brush,1,505X_S
505X,NormalMonFri,505X-3,Jefferson / Brush,1,505X_S
505X,NormalMonFri,505X-4,Jefferson / Brush,1,505X_S
505X,NormalMonFri,505X-5,Jefferson / Brush,1,505X_S
505X,NormalMonFri,505X-6,Jefferson / Brush,1,505X_S
505X,NormalMonFri,505X-7,Jefferson / Brush,1,505X_S
505X,NormalMonFriNoPH,505X-8,Troy Civic Center,0,505X_N
505X,NormalMonFriNoPH,505X-9,Troy Civic Center,0,505X_N
505X,NormalMonFriNoPH,505X-10,Troy Civic Center,0,505X_N
505X,NormalMonFriNoPH,505X-11,Troy Civic Center,0,505X_N
505X,NormalMonFriNoPH,505X-12,Troy Civic Center,0,505X_N
505X,NormalMonFriNoPH,505X-13,Troy Civic Center,0,505X_N
505X,NormalMonFriNoPH,505X-14,Troy Civic Center,0,505X_N
505X,PreHoliday,505X-15,Troy Civic Center,0,505X_N
505X,PreHoliday,505X-16,Troy Civic Center,0,505X_N
505X,PreHoliday,505X-17,Troy Civic Center,0,505X_N
505X,PreHoliday,505X-18,Troy Civic Center,0,505X_N
505X,PreHoliday,505X-19,Troy Civic Center,0,505X_N
505X,PreHoliday,505X-20,Troy Civic Center,0,505X_N
505X,PreHoliday,505X-21,Troy Civic Center,0,505X_N
505X,PreHoliday,505X-22,Troy Civic Center,0,505X_N
505X,PreHoliday,505X-23,Troy Civic Center,0,505X_N
505X,PreHoliday,505X-24,Troy Civic Center,0,505X_N
