route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
M,NormalMonFri,M-1,Rosa Parks Nexus,0,ML_E
M,NormalMonFri,M-2,Rosa Parks Nexus,0,ML_E
M,NormalMonFri,M-3,Rosa Parks Nexus,0,ML_E
M,NormalMonFri,M-4,Rosa Parks Nexus,0,ML_E
M,NormalMonFri,M-5,Rosa Parks Nexus,0,ML_E
M,NormalMonFri,M-6,Rosa Parks Nexus,0,ML_E
M,NormalMonFri,M-7,Rosa Parks Nexus,0,ML_E
M,NormalMonFri,M-8,Rosa Parks Nexus,0,ML_E
M,NormalMonFri,M-9,Rosa Parks Nexus,0,ML_E
M,NormalMonFri,M-10,Rosa Parks Nexus,0,ML_E
M,NormalMonFri,M-11,Rosa Parks Nexus,0,ML_E
M,NormalMonFri,M-12,Rosa Parks Nexus,0,ML_E
M,NormalMonFri,M-13,Rosa Parks Nexus,0,ML_E
M,NormalMonFri,M-14,Rosa Parks Nexus,0,ML_E
M,NormalMonFri,M-15,Rosa Parks Nexus,0,ML_E
M,NormalMonFri,M-16,Rosa Parks Nexus,0,ML_E
M,NormalMonFri,M-17,Rosa Parks Nexus,0,ML_E
M,NormalMonFri,M-18,Rosa Parks Nexus,0,ML_E
M,NormalMonFri,M-19,Rosa Parks Nexus,0,ML_E
M,NormalMonFri,M-20,Rosa Parks Nexus,0,ML_E
M,NormalMonFri,M-21,Rosa Parks Nexus,0,ML_E
M,NormalMonFri,M-22,Rosa Parks Nexus,0,ML_E
M,NormalMonFri,M-23,Rosa Parks Nexus,0,ML_E
M,NormalMonFri,M-24,Rosa Parks Nexus,0,ML_E
M,NormalMonFri,M-25,Rosa Parks Nexus,0,ML_E
M,NormalMonFri,M-26,Rosa Parks Nexus,0,ML_E
M,NormalMonFri,M-27,Rosa Parks Nexus,0,ML_E
M,NormalMonFri,M-28,Rosa Parks Nexus,0,ML_E
M,NormalMonFri,M-29,Rosa Parks Nexus,0,ML_E
M,NormalMonFri,M-30,Rosa Parks Nexus,0,ML_E
M,NormalMonFri,M-31,Rosa Parks Nexus,0,ML_E
M,NormalMonFri,M-32,Rosa Parks Nexus,0,ML_E
M,NormalMonFri,M-33,Rosa Parks Nexus,0,ML_E
M,NormalMonFri,M-34,Rosa Parks Nexus,0,ML_E
M,NormalMonFri,M-35,Rosa Parks Nexus,0,ML_E
M,NormalMonFri,M-36,Rosa Parks Nexus,0,ML_E
M,NormalMonFri,M-37,Rosa Parks Nexus,0,ML_E
M,NormalMonFri,M-38,Rosa Parks Nexus,0,ML_E
M,NormalMonFri,M-39,Rosa Parks Nexus,0,ML_E
M,NormalMonFri,M-40,Rosa Parks Nexus,0,ML_E
M,NormalMonFri,M-41,Rosa Parks Nexus,0,ML_E
M,NormalMonFri,M-42,Rosa Parks Nexus,0,ML_E
M,NormalMonFri,M-43,Rosa Parks Nexus,0,ML_E
M,NormalMonFri,M-44,Rosa Parks Nexus,0,ML_E
M,NormalMonFri,M-45,Rosa Parks Nexus,0,ML_E
