route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
O,NormalMonFri,O-1,Oakland Mall,0,OL_E
O,NormalMonFri,O-2,Oakland Mall,0,OL_E
O,NormalMonFri,O-3,Oakland Mall,0,OL_E
O,NormalMonFri,O-4,Oakland Mall,0,OL_E
O,NormalMonFri,O-5,Oakland Mall,0,OL_E
O,NormalMonFri,O-6,Oakland Mall,0,OL_E
O,NormalMonFri,O-7,Oakland Mall,0,OL_E
O,NormalMonFri,O-8,Oakland Mall,0,OL_E
O,NormalMonFri,O-9,Oakland Mall,0,OL_E
O,NormalMonFri,O-10,Oakland Mall,0,OL_E
O,NormalMonFri,O-11,Oakland Mall,0,OL_E
O,NormalMonFri,O-12,Oakland Mall,0,OL_E
O,NormalMonFri,O-13,Oakland Mall,0,OL_E
O,NormalMonFri,O-14,Oakland Mall,0,OL_E
O,NormalMonFri,O-15,Oakland Mall,0,OL_E
O,NormalMonFri,O-16,Oakland Mall,0,OL_E
O,NormalMonFri,O-17,Oakland Mall,0,OL_E
O,NormalMonFri,O-18,Oakland Mall,0,OL_E
O,NormalMonFri,O-19,Oakland Mall,0,OL_E
O,NormalMonFri,O-20,Oakland Mall,0,OL_E
O,NormalMonFri,O-21,Oakland Mall,0,OL_E
O,NormalMonFri,O-22,Oakland Mall,0,OL_E
O,NormalMonFri,O-23,Oakland Mall,0,OL_E
O,NormalMonFri,O-24,Oakland Mall,0,OL_E
O,NormalMonFri,O-25,Oakland Mall,0,OL_E
O,NormalMonFri,O-26,Oakland Mall,0,OL_E
O,NormalMonFri,O-27,Oakland Mall,0,OL_E
O,NormalMonFri,O-28,Oakland Mall,0,OL_E
O,NormalMonFri,O-29,Oakland Mall,0,OL_E
O,NormalMonFri,O-30,Oakland Mall,0,OL_E
O,NormalMonFri,O-31,Oakland Mall,0,OL_E
O,NormalMonFri,O-32,Oakland Mall,0,OL_E
O,NormalMonFri,O-33,Oakland Mall,0,OL_E
O,NormalMonFri,O-34,Oakland Mall,0,OL_E
O,NormalMonFri,O-35,Oakland Mall,0,OL_E
O,NormalMonFri,O-36,Oakland Mall,0,OL_E
O,NormalMonFri,O-37,Oakland Mall,0,OL_E
O,NormalMonFri,O-38,Oakland Mall,0,OL_E
O,NormalMonFri,O-39,Oakland Mall,0,OL_E
O,NormalMonFri,O-40,Oakland Mall,0,OL_E
O,NormalMonFri,O-41,Oakland Mall,0,OL_E
O,NormalMonFri,O-42,Oakland Mall,0,OL_E
O,NormalMonFri,O-43,Oakland Mall,0,OL_E
