route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
R,NormalMonFri,R-1,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-2,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-3,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-4,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-5,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-6,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-7,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-8,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-9,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-10,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-11,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-12,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-13,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-14,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-15,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-16,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-17,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-18,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-19,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-20,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-21,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-22,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-23,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-24,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-25,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-26,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-27,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-28,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-29,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-30,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-31,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-32,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-33,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-34,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-35,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-36,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-37,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-38,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-39,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-40,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-41,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-42,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-43,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-44,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-45,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-46,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-47,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-48,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-49,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-50,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-51,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-52,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-53,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-54,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-55,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-56,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-57,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-58,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-59,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-60,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-61,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-62,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-63,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-64,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-65,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-66,Rosa Parks Nexus,0,RL_E
R,NormalMonFri,R-67,Rosa Parks Nexus,0,RL_E
