route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
T,NormalMonFri,T-1,Pontiac Nexus,0,TL_N
T,NormalMonFri,T-2,Pontiac Nexus,0,TL_N
T,NormalMonFri,T-3,Pontiac Nexus,0,TL_N
T,NormalMonFri,T-4,Pontiac Nexus,0,TL_N
T,NormalMonFri,T-5,Pontiac Nexus,0,TL_N
T,NormalMonFri,T-6,Pontiac Nexus,0,TL_N
T,NormalMonFri,T-7,Pontiac Nexus,0,TL_N
T,NormalMonFri,T-8,Pontiac Nexus,0,TL_N
T,NormalMonFri,T-9,Pontiac Nexus,0,TL_N
T,NormalMonFri,T-10,Pontiac Nexus,0,TL_N
T,NormalMonFri,T-11,Pontiac Nexus,0,TL_N
T,NormalMonFri,T-12,Pontiac Nexus,0,TL_N
T,NormalMonFri,T-13,Pontiac Nexus,0,TL_N
T,NormalMonFri,T-14,Pontiac Nexus,0,TL_N
T,NormalMonFri,T-15,Pontiac Nexus,0,TL_N
T,NormalMonFri,T-16,Pontiac Nexus,0,TL_N
T,NormalMonFri,T-17,Pontiac Nexus,0,TL_N
T,NormalMonFri,T-18,Pontiac Nexus,0,TL_N
T,NormalMonFri,T-19,Pontiac Nexus,0,TL_N
T,NormalMonFri,T-20,Pontiac Nexus,0,TL_N
T,NormalMonFri,T-21,Pontiac Nexus,0,TL_N
T,NormalMonFri,T-22,Pontiac Nexus,0,TL_N
T,NormalMonFri,T-23,Pontiac Nexus,0,TL_N
T,NormalMonFri,T-24,Pontiac Nexus,0,TL_N
T,NormalMonFri,T-25,Pontiac Nexus,0,TL_N
T,NormalMonFri,T-26,Pontiac Nexus,0,TL_N
T,NormalMonFri,T-27,Pontiac Nexus,0,TL_N
T,NormalMonFri,T-28,Pontiac Nexus,0,TL_N
T,NormalMonFri,T-29,Pontiac Nexus,0,TL_N
T,NormalMonFri,T-30,Pontiac Nexus,0,TL_N
T,NormalMonFri,T-31,Pontiac Nexus,0,TL_N
T,NormalMonFri,T-32,Pontiac Nexus,0,TL_N
T,NormalMonFri,T-33,Pontiac Nexus,0,TL_N
T,NormalMonFri,T-34,Pontiac Nexus,0,TL_N
T,NormalMonFri,T-35,Pontiac Nexus,0,TL_N
T,NormalMonFri,T-36,Pontiac Nexus,0,TL_N
T,NormalMonFri,T-37,Pontiac Nexus,0,TL_N
T,NormalMonFri,T-38,Pontiac Nexus,0,TL_N
T,NormalMonFri,T-39,Pontiac Nexus,0,TL_N
T,NormalMonFri,T-40,Pontiac Nexus,0,TL_N
T,NormalMonFri,T-41,Pontiac Nexus,0,TL_N
T,NormalMonFri,T-42,Pontiac Nexus,0,TL_N
T,NormalMonFri,T-43,Pontiac Nexus,0,TL_N
T,NormalMonFri,T-44,Pontiac Nexus,0,TL_N
T,NormalMonFri,T-45,Pontiac Nexus,0,TL_N
