route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
W,NormalMonFri,W-1,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-2,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-3,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-4,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-5,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-6,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-7,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-8,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-9,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-10,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-11,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-12,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-13,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-14,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-15,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-16,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-17,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-18,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-19,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-20,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-21,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-22,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-23,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-24,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-25,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-26,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-27,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-28,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-29,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-30,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-31,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-32,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-33,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-34,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-35,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-36,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-37,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-38,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-39,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-40,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-41,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-42,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-43,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-44,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-45,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-46,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-47,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-48,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-49,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-50,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-51,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-52,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-53,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-54,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-55,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-56,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-57,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-58,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-59,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-60,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-61,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-62,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-63,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-64,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-65,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-66,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-67,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-68,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-69,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-70,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-71,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-72,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-73,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-74,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-75,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-76,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-77,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-78,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-79,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-80,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-81,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-82,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-83,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-84,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-85,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-86,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-87,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-88,Pontiac Nexus,0,WL_N
W,NormalMonFri,W-89,Pontiac Nexus,0,WL_N
