route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
Y,saturday,Y-1,Metro Airport Nexus,0,2976
Y,saturday,Y-2,Metro Airport Nexus,0,2976
Y,saturday,Y-3,Metro Airport Nexus,0,2976
Y,saturday,Y-4,Metro Airport Nexus,0,2976
Y,saturday,Y-5,Metro Airport Nexus,0,2976
Y,saturday,Y-6,Metro Airport Nexus,0,2976
Y,saturday,Y-7,Metro Airport Nexus,0,2976
Y,saturday,Y-8,Metro Airport Nexus,0,2976
Y,saturday,Y-9,Metro Airport Nexus,0,2976
Y,saturday,Y-10,Metro Airport Nexus,0,2976
Y,saturday,Y-11,Metro Airport Nexus,0,2976
Y,saturday,Y-12,Metro Airport Nexus,0,2976
Y,saturday,Y-13,Metro Airport Nexus,0,2976
Y,saturday,Y-14,Metro Airport Nexus,0,2976
Y,saturday,Y-15,Metro Airport Nexus,0,2976
Y,saturday,Y-16,Metro Airport Nexus,0,2976
Y,saturday,Y-17,Metro Airport Nexus,0,2976
Y,saturday,Y-18,Metro Airport Nexus,0,2976
Y,saturday,Y-19,Metro Airport Nexus,0,2976
Y,saturday,Y-20,Metro Airport Nexus,0,2976
Y,saturday,Y-21,Metro Airport Nexus,0,2976
Y,saturday,Y-22,Metro Airport Nexus,0,2976
Y,saturday,Y-23,Metro Airport Nexus,0,2976
Y,saturday,Y-24,Metro Airport Nexus,0,2976
Y,saturday,Y-25,Metro Airport Nexus,0,2976
Y,saturday,Y-26,Metro Airport Nexus,0,2976
Y,saturday,Y-27,Metro Airport Nexus,0,2976
Y,saturday,Y-28,Metro Airport Nexus,0,2976
Y,saturday,Y-29,Metro Airport Nexus,0,2976
Y,saturday,Y-30,Metro Airport Nexus,0,2976
Y,saturday,Y-31,Metro Airport Nexus,0,2976
Y,saturday,Y-32,Metro Airport Nexus,0,2976
Y,saturday,Y-33,Metro Airport Nexus,0,2976
Y,saturday,Y-34,Metro Airport Nexus,0,2976
Y,saturday,Y-35,Metro Airport Nexus,0,2976
Y,saturday,Y-36,Metro Airport Nexus,0,2976
Y,saturday,Y-37,Metro Airport Nexus,0,2976
Y,saturday,Y-38,Metro Airport Nexus,0,2976
Y,saturday,Y-39,Metro Airport Nexus,0,2976
Y,saturday,Y-40,Metro Airport Nexus,0,2976
Y,saturday,Y-41,Metro Airport Nexus,0,2976
Y,saturday,Y-42,Metro Airport Nexus,0,2976
Y,saturday,Y-43,Metro Airport Nexus,0,2976
Y,saturday,Y-44,Metro Airport Nexus,0,2976
Y,saturday,Y-45,Metro Airport Nexus,0,2976
Y,saturday,Y-46,Metro Airport Nexus,0,2976
Y,saturday,Y-47,Metro Airport Nexus,0,2976
Y,saturday,Y-48,Metro Airport Nexus,0,2976
Y,saturday,Y-49,Blake Transit Center,1,2974
Y,saturday,Y-50,Blake Transit Center,1,2974
Y,saturday,Y-51,Blake Transit Center,1,2974
Y,saturday,Y-52,Blake Transit Center,1,2974
Y,saturday,Y-53,Blake Transit Center,1,2974
Y,saturday,Y-54,Blake Transit Center,1,2974
Y,saturday,Y-55,Blake Transit Center,1,2974
Y,saturday,Y-56,Blake Transit Center,1,2974
Y,saturday,Y-57,Blake Transit Center,1,2974
Y,saturday,Y-58,Blake Transit Center,1,2974
Y,saturday,Y-59,Blake Transit Center,1,2974
Y,saturday,Y-60,Blake Transit Center,1,2974
Y,saturday,Y-61,Blake Transit Center,1,2974
Y,saturday,Y-62,Blake Transit Center,1,2974
Y,saturday,Y-63,Blake Transit Center,1,2974
Y,saturday,Y-64,Blake Transit Center,1,2974
Y,saturday,Y-65,Blake Transit Center,1,2974
Y,saturday,Y-66,Blake Transit Center,1,2974
Y,saturday,Y-67,Blake Transit Center,1,2974
Y,saturday,Y-68,Blake Transit Center,1,2974
Y,saturday,Y-69,Blake Transit Center,1,2974
Y,saturday,Y-70,Blake Transit Center,1,2974
Y,saturday,Y-71,Blake Transit Center,1,2974
Y,saturday,Y-72,Blake Transit Center,1,2974
Y,saturday,Y-73,Blake Transit Center,1,2974
Y,saturday,Y-74,Blake Transit Center,1,2974
Y,saturday,Y-75,Blake Transit Center,1,2974
Y,saturday,Y-76,Blake Transit Center,1,2974
Y,saturday,Y-77,Blake Transit Center,1,2974
Y,saturday,Y-78,Blake Transit Center,1,2974
Y,saturday,Y-79,Blake Transit Center,1,2974
Y,saturday,Y-80,Blake Transit Center,1,2974
Y,saturday,Y-81,Blake Transit Center,1,2974
Y,saturday,Y-82,Blake Transit Center,1,2974
Y,saturday,Y-83,Blake Transit Center,1,2974
Y,saturday,Y-84,Blake Transit Center,1,2974
Y,saturday,Y-85,Blake Transit Center,1,2974
Y,saturday,Y-86,Blake Transit Center,1,2974
Y,saturday,Y-87,Blake Transit Center,1,2974
Y,saturday,Y-88,Blake Transit Center,1,2974
